Name,First Name,Last Name,Team,Position,OVR
Demaryius Thomas,Demaryius,Thomas,Broncos,WR,73
Jabar Gaffney,Jabar,Gaffney,Redskins,WR,73
Kyle Rudolph,Kyle,Rudolph,Vikings,TE,73
Zach Miller,Zach,Miller,Jaguars,TE,73
Martellus Bennett,Martellus,Bennett,Cowboys,TE,73
Julian Edelman,Julian,Edelman,Patriots,WR,73
Harry Douglas,Harry,Douglas,Falcons,WR,73
Kris Wilson,Kris,Wilson,Ravens,TE,72
Eric Decker,Eric,Decker,Broncos,WR,72
Darrius Heyward-Bey,Darrius,Heyward-Bey,Raiders,WR,72
Devin Aromashodu,Devin,Aromashodu,Vikings,WR,72
Alex Smith,Alex,Smith,Browns,TE,72
Ed Dickson,Ed,Dickson,Ravens,TE,72
Early Doucet,Early,Doucet,Cardinals,WR,72
Billy Bajema,Billy,Bajema,Rams,TE,72
Daniel Graham,Daniel,Graham,Titans,TE,72
Chaz Schilens,Chaz,Schilens,Raiders,WR,72
Lance Kendricks,Lance,Kendricks,Rams,TE,72
Antonio Brown,Antonio,Brown,Steelers,WR,72
Roscoe Parrish,Roscoe,Parrish,Bills,WR,71
Golden Tate,Golden,Tate,Seahawks,WR,71
Luke Stocker,Luke,Stocker,Buccaneers,TE,71
Andre Roberts,Andre,Roberts,Cardinals,WR,71
Brandon LaFell,Brandon,LaFell,Panthers,WR,71
Jonathan Baldwin,Jonathan,Baldwin,Chiefs,WR,71
Ben Obomanu,Ben,Obomanu,Seahawks,WR,71
Travis Beckum,Travis,Beckum,Giants,TE,71
Domenik Hixon,Domenik,Hixon,Giants,WR,71
Ben Obomanu,Ben,Obomanu,Seahawks,WR,71
Brandon LaFell,Brandon,LaFell,Panthers,WR,71
Craig Stevens,Craig,Stevens,Titans,TE,70
Greg Camarillo,Greg,Camarillo,Vikings,WR,70
Greg Little,Greg,Little,Browns,WR,70
Brian Robiskie,Brian,Robiskie,Browns,WR,70
Deon Butler,Deon,Butler,Seahawks,WR,70
Anthony Gonzalez,Anthony,Gonzalez,Colts,WR,70
Eric Weems,Eric,Weems,Falcons,WR,70
Delanie Walker,Delanie,Walker,49ers,TE,70
Marc Mariani,Marc,Mariani,Titans,WR,70
Joel Dreessen,Joel,Dreessen,Texans,TE,70
Randall Cobb,Randall,Cobb,Packers,WR,70
Emmanuel Sanders,Emmanuel,Sanders,Steelers,WR,70
David Nelson,David,Nelson,Bills,WR,69
David Martin,David,Martin,Bills,TE,69
Arnaz Battle,Arnaz,Battle,Steelers,WR,69
Torrey Smith,Torrey,Smith,Ravens,WR,69
Sammie Stroughter,Sammie,Stroughter,Buccaneers,WR,69
Jeff King,Jeff,King,Cardinals,TE,69
Jerheme Urban,Jerheme,Urban,Chiefs,WR,69
John Phillips,John,Phillips,Cowboys,TE,69
Martin Rucker,Martin,Rucker,Cowboys,TE,69
Bear Pascoe,Bear,Pascoe,Giants,TE,69
Danario Alexander,Danario,Alexander,Rams,WR,69
Bryant Johnson,Bryant,Johnson,Texans,WR,68
Donald Jones,Donald,Jones,Bills,WR,68
Donte' Stallworth,Donte',Stallworth,Redskins,WR,68
Mike Leach,Mike,Leach,Cardinals,TE,68
Chansi Stuckey,Chansi,Stuckey,Cardinals,WR,68
Vincent Brown,Vincent,Brown,Chargers,WR,68
Dante Rosario,Dante,Rosario,Dolphins,TE,68
Reggie Kelly,Reggie,Kelly,Falcons,TE,68
Lavelle Hawkins,Lavelle,Hawkins,Titans,WR,68
Maurice Stovall,Maurice,Stovall,Lions,WR,68
Andrew Quarless,Andrew,Quarless,Packers,TE,68
D.J. Williams,D.J.,Williams,Packers,TE,68
Matt Spaeth,Matt,Spaeth,Bears,TE,67
Micheal Spurlock,Micheal,Spurlock,Buccaneers,WR,67
Blair White,Blair,White,Colts,WR,67
Garrett Graham,Garrett,Graham,Texans,TE,67
Leonard Hankerson,Leonard,Hankerson,Redskins,WR,67
Devin Thomas,Devin,Thomas,Giants,WR,67
Michael Hoomanawanui,Michael,Hoomanawanui,Rams,TE,67
Cameron Morrah,Cameron,Morrah,Seahawks,TE,67
Titus Young,Titus,Young,Lions,WR,67
Damian Williams,Damian,Williams,Titans,WR,67
Marcus Easley,Marcus,Easley,Bills,WR,66
Rob Housler,Rob,Housler,Cardinals,TE,66
Dwayne Harris,Dwayne,Harris,Cowboys,WR,66
Dezmon Briscoe,Dezmon,Briscoe,Buccaneers,WR,66
Rob Housler,Rob,Housler,Cardinals,TE,66
Dwayne Harris,Dwayne,Harris,Cowboys,WR,66
Clay Harbor,Clay,Harbor,Eagles,TE,66
Rashied Davis,Rashied,Davis,Lions,WR,66
Seyi Ajirotutu,Seyi,Ajirotutu,Panthers,WR,66
David Ausberry,David,Ausberry,Raiders,TE,66
John Gilmore,John,Gilmore,Saints,TE,66
Dane Sanzenbacher,Dane,Sanzenbacher,Bears,WR,65
Sam Hurd,Sam,Hurd,Bears,WR,65
Thomas Gafford,Thomas,Gafford,Chiefs,TE,65
Kevin Ogletree,Kevin,Ogletree,Cowboys,WR,65
Jake Ballard,Jake,Ballard,Giants,TE,65
Taylor Price,Taylor,Price,Patriots,WR,65
Brandon Myers,Brandon,Myers,Raiders,TE,65
Austin Pettis,Austin,Pettis,Rams,WR,65
Dennis Pitta,Dennis,Pitta,Ravens,TE,65
Tandon Doss,Tandon,Doss,Ravens,WR,65
Lee Smith,Lee,Smith,Bills,TE,64
Julius Thomas,Julius,Thomas,Broncos,TE,64
Matthew Willis,Matthew,Willis,Broncos,WR,64
Clyde Gates,Clyde,Gates,Dolphins,WR,64
Riley Cooper,Riley,Cooper,Eagles,WR,64
Jerrel Jernigan,Jerrel,Jernigan,Giants,WR,64
Mardy Gilyard,Mardy,Gilyard,Jets,WR,64
Denarius Moore,Denarius,Moore,Raiders,WR,64
Kris Durham,Kris,Durham,Seahawks,WR,64
Scott Chandler,Scott,Chandler,Bills,TE,63
Virgil Green,Virgil,Green,Broncos,TE,63
Terrance Copper,Terrance,Copper,Chiefs,WR,63
Jesse Holley,Jesse,Holley,Cowboys,WR,63
Marlon Moore,Marlon,Moore,Dolphins,WR,63
Cullen Loeffler,Cullen,Loeffler,Vikings,TE,63
Kassim Osgood,Kassim,Osgood,Jaguars,WR,63
Patrick Turner,Patrick,Turner,Jets,WR,63
Logan Payne,Logan,Payne,Jets,WR,63
Will Heller,Will,Heller,Lions,TE,63
Stefan Logan,Stefan,Logan,Lions,WR,63
Armanti Edwards,Armanti,Edwards,Panthers,WR,63
Kealoha Pilares,Kealoha,Pilares,Panthers,WR,63
Anthony McCoy,Anthony,McCoy,Seahawks,TE,63
Ryan Whalen,Ryan,Whalen,Bengals,WR,62
Jim Dray,Jim,Dray,Cardinals,TE,62
Kory Sperry,Kory,Sperry,Chargers,TE,62
Jeron Mastrud,Jeron,Mastrud,Dolphins,TE,62
Ryan Taylor,Ryan,Taylor,Packers,TE,62
Logan Paulsen,Logan,Paulsen,Redskins,TE,62
Courtney Roby,Courtney,Roby,Saints,WR,62
Stephen Williams,Stephen,Williams,Cardinals,WR,61
Roberto Wallace,Roberto,Wallace,Dolphins,WR,61
Stephen Williams,Stephen,Williams,Cardinals,WR,61
Roberto Wallace,Roberto,Wallace,Dolphins,WR,61
Brian Jennings,Brian,Jennings,49ers,TE,61
Victor Cruz,Victor,Cruz,Giants,WR,61
Jarett Dillard,Jarett,Dillard,Jaguars,WR,61
Jeremy Kerley,Jeremy,Kerley,Jets,WR,61
Ben Hartsock,Ben,Hartsock,Panthers,TE,61
Brandon Banks,Brandon,Banks,Redskins,WR,61
Weslye Saunders,Weslye,Saunders,Steelers,TE,61
Jordan Norwood,Jordan,Norwood,Browns,WR,60
Demarco Sampson,Demarco,Sampson,Cardinals,WR,60
Kerry Meier,Kerry,Meier,Falcons,WR,60
Joe Zelenka,Joe,Zelenka,Falcons,TE,60
Cecil Shorts,Cecil,Shorts,Jaguars,WR,60
Tom Crabtree,Tom,Crabtree,Packers,TE,60
Richard Gordon,Richard,Gordon,Raiders,TE,60
Dominique Byrd,Dominique,Byrd,Seahawks,TE,60
Clark Harris,Clark,Harris,Bengals,TE,59
Zack Pianalto,Zack,Pianalto,Buccaneers,TE,59
Terrence Austin,Terrence,Austin,Redskins,WR,59
Mickey Shuler,Mickey,Shuler,Bengals,TE,58
Bryan Walters,Bryan,Walters,Chargers,WR,58
David Reed,David,Reed,Ravens,WR,58
Jake O'Connell,Jake,O'Connell,Chiefs,TE,57
Mike McNeill,Mike,McNeill,Colts,TE,57
Michael Palmer,Michael,Palmer,Falcons,TE,57
Matthew Mulligan,Matthew,Mulligan,Jets,TE,57
Jeff Cumberland,Jeff,Cumberland,Jets,TE,57
Richard Goodman,Richard,Goodman,Chargers,WR,56
Zach Potter,Zach,Potter,Jaguars,TE,56
Kyle Adams,Kyle,Adams,Bears,TE,55
Preston Parker,Preston,Parker,Buccaneers,WR,55
Justin Snow,Justin,Snow,Colts,TE,55
Stephen Burton,Stephen,Burton,Vikings,WR,55
Dominique Curry,Dominique,Curry,Rams,WR,54
LaQuan Williams,LaQuan,Williams,Ravens,WR,54
Kyle Williams,Kyle,Williams,49ers,WR,52
Don Muhlbach,Don,Muhlbach,Lions,TE,52
Tanner Purdum,Tanner,Purdum,Jets,TE,51
Nick Miller,Nick,Miller,Raiders,WR,51
Trindon Holliday,Trindon,Holliday,Texans,WR,50
Danny Aiken,Danny,Aiken,Patriots,TE,46
Mike Windt,Mike,Windt,Chargers,TE,44
Jacob McQuaide,Jacob,McQuaide,Rams,TE,43
Adrian Peterson,Adrian,Peterson,Vikings,HB,97
Chris Johnson,Chris,Johnson,Titans,HB,96
Jamaal Charles,Jamaal,Charles,Chiefs,HB,95
Maurice Jones-Drew,Maurice,Jones-Drew,Jaguars,HB,95
Ovie Mughelli,Ovie,Mughelli,Falcons,FB,94
Steven Jackson,Steven,Jackson,Rams,HB,94
Michael Turner,Michael,Turner,Falcons,HB,93
Arian Foster,Arian,Foster,Texans,HB,92
Ray Rice,Ray,Rice,Ravens,HB,92
Peyton Hillis,Peyton,Hillis,Browns,HB,91
Vonta Leach,Vonta,Leach,Ravens,FB,91
Frank Gore,Frank,Gore,49ers,HB,91
Le'Ron McClain,Le'Ron,McClain,Chiefs,FB,90
DeAngelo Williams,DeAngelo,Williams,Panthers,HB,89
Matt Forte,Matt,Forte,Bears,HB,89
LeSean McCoy,LeSean,McCoy,Eagles,HB,88
Rashard Mendenhall,Rashard,Mendenhall,Steelers,HB,88
Ahmard Hall,Ahmard,Hall,Titans,FB,88
Lawrence Vickers,Lawrence,Vickers,Texans,FB,87
Darren McFadden,Darren,McFadden,Raiders,HB,87
Knowshon Moreno,Knowshon,Moreno,Broncos,HB,85
Ahmad Bradshaw,Ahmad,Bradshaw,Giants,HB,85
Greg Jones,Greg,Jones,Jaguars,FB,84
Montell Owens,Montell,Owens,Jaguars,FB,84
LaDainian Tomlinson,LaDainian,Tomlinson,Jets,HB,84
Ronnie Brown,Ronnie,Brown,Eagles,HB,84
Thomas Jones,Thomas,Jones,Chiefs,HB,83
Marcel Reece,Marcel,Reece,Raiders,FB,83
Joseph Addai,Joseph,Addai,Colts,HB,82
BenJarvus Green-Ellis,BenJarvus,Green-Ellis,Patriots,HB,82
Danny Woodhead,Danny,Woodhead,Patriots,HB,82
Ryan Grant,Ryan,Grant,Packers,HB,82
Felix Jones,Felix,Jones,Cowboys,HB,81
Marshawn Lynch,Marshawn,Lynch,Seahawks,HB,81
Brandon Jacobs,Brandon,Jacobs,Giants,HB,81
LeGarrette Blount,LeGarrette,Blount,Buccaneers,HB,81
Jonathan Stewart,Jonathan,Stewart,Panthers,HB,81
Cedric Benson,Cedric,Benson,Bengals,HB,81
Jahvid Best,Jahvid,Best,Lions,HB,80
Shonn Greene,Shonn,Greene,Jets,HB,80
Fred Jackson,Fred,Jackson,Bills,HB,80
Ricky Williams,Ricky,Williams,Ravens,HB,80
Willis McGahee,Willis,McGahee,Broncos,HB,79
Darren Sproles,Darren,Sproles,Saints,HB,79
Mark Ingram,Mark,Ingram,Saints,HB,79
John Kuhn,John,Kuhn,Packers,FB,79
Tim Hightower,Tim,Hightower,Redskins,HB,78
Earnest Graham,Earnest,Graham,Buccaneers,FB,78
John Conner,John,Conner,Jets,FB,78
Kevin Faulk,Kevin,Faulk,Patriots,HB,78
Kevin Faulk,Kevin,Faulk,Patriots,HB,78
Justin Forsett,Justin,Forsett,Seahawks,HB,77
Michael Bush,Michael,Bush,Raiders,HB,77
Ryan Mathews,Ryan,Mathews,Chargers,HB,77
Mike Tolbert,Mike,Tolbert,Chargers,HB,77
Moran Norris,Moran,Norris,49ers,FB,77
Maurice Morris,Maurice,Morris,Lions,HB,77
Jerome Harrison,Jerome,Harrison,Lions,HB,77
James Starks,James,Starks,Packers,HB,77
Ryan Torain,Ryan,Torain,Redskins,HB,76
Michael Robinson,Michael,Robinson,Seahawks,FB,76
Carnell Williams,Carnell,Williams,Rams,HB,76
Dexter McCluster,Dexter,McCluster,Chiefs,HB,76
Derrick Ward,Derrick,Ward,Texans,HB,76
Owen Schmitt,Owen,Schmitt,Eagles,FB,76
Marion Barber,Marion,Barber,Bears,HB,75
Bernard Scott,Bernard,Scott,Bengals,HB,75
C.J. Spiller,C.J.,Spiller,Bills,HB,75
Chester Taylor,Chester,Taylor,Cardinals,HB,75
Beanie Wells,Beanie,Wells,Cardinals,HB,75
Leon Washington,Leon,Washington,Seahawks,HB,75
Reggie Bush,Reggie,Bush,Dolphins,HB,75
Chris Ivory,Chris,Ivory,Saints,HB,74
Tashard Choice,Tashard,Choice,Cowboys,HB,74
Jason Snelling,Jason,Snelling,Falcons,HB,74
Rashad Jennings,Rashad,Jennings,Jaguars,HB,74
Mike Goodson,Mike,Goodson,Panthers,HB,74
Ryan Williams,Ryan,Williams,Cardinals,HB,73
Jacob Hester,Jacob,Hester,Chargers,FB,73
Korey Hall,Korey,Hall,Saints,FB,73
Brandon Jackson,Brandon,Jackson,Browns,HB,72
Steve Slaton,Steve,Slaton,Texans,HB,72
LaRod Stephens-Howling,LaRod,Stephens-Howling,Cardinals,HB,72
Donald Brown,Donald,Brown,Colts,HB,72
Daniel Thomas,Daniel,Thomas,Dolphins,HB,72
Javon Ringer,Javon,Ringer,Titans,HB,72
Toby Gerhart,Toby,Gerhart,Vikings,HB,72
Mikel Leshoure,Mikel,Leshoure,Lions,HB,72
Jerome Felton,Jerome,Felton,Panthers,FB,72
Corey McIntyre,Corey,McIntyre,Bills,FB,71
Montario Hardesty,Montario,Hardesty,Browns,HB,71
Mewelde Moore,Mewelde,Moore,Steelers,HB,71
Tony Fiammetta,Tony,Fiammetta,Cowboys,FB,71
Brit Miller,Brit,Miller,Rams,FB,71
Anthony Dixon,Anthony,Dixon,49ers,HB,71
Kendall Hunter,Kendall,Hunter,49ers,HB,71
Brody Eldridge,Brody,Eldridge,Colts,FB,70
James Casey,James,Casey,Texans,FB,70
Isaac Redman,Isaac,Redman,Steelers,HB,70
Stevan Ridley,Stevan,Ridley,Patriots,HB,70
Anthony Sherman,Anthony,Sherman,Cardinals,FB,69
Chris Gronkowski,Chris,Gronkowski,Colts,FB,69
DeMarco Murray,DeMarco,Murray,Cowboys,HB,69
Jacquizz Rodgers,Jacquizz,Rodgers,Falcons,HB,69
Shane Vereen,Shane,Vereen,Patriots,HB,69
Darrel Young,Darrel,Young,Redskins,FB,69
Roy Helu,Roy,Helu,Redskins,HB,69
David Johnson,David,Johnson,Steelers,FB,69
Ben Tate,Ben,Tate,Texans,HB,69
Chris Pressley,Chris,Pressley,Bengals,FB,68
Delone Carter,Delone,Carter,Colts,HB,68
Owen Marecic,Owen,Marecic,Browns,FB,67
Dion Lewis,Dion,Lewis,Eagles,HB,67
Taiwan Jones,Taiwan,Jones,Raiders,HB,67
Rock Cartwright,Rock,Cartwright,Raiders,HB,67
Jerious Norwood,Jerious,Norwood,Rams,HB,67
Brian Leonard,Brian,Leonard,Bengals,HB,66
Johnny White,Johnny,White,Bills,HB,66
Lance Ball,Lance,Ball,Broncos,HB,66
