Geographic Location,county,state,poverty_pct,med_income
"Paramus, NJ", Bergen County, NJ,6.8,"$100,181"
"Albuquerque, NM", Bernalillo County, NM,16.5,"$51,372"
"Bentonville, AR", Benton County, AR,9.8,"$69,212"
"Bakersfield, CA", Kern County, CA,20.5,"$51,586"
"Buffalo, NY", Erie County, NY,15.3,"$48,453"
"Sterling Heights, MI", Macomb County, MI,11.0,"$62,191"
"Detroit, MI", Wayne County, MI,20.9,"$38,704"
"Canoga Park, CA", Los Angeles County, CA,14.2,"$67,986"
"Castroville, CA", Monterey County, CA,13.3,"$69,665"
"Plantation, FL", Broward County, FL,12.6,"$57,200"
"Phoenix, AZ", Maricopa County, AZ,12.3,"$65,234"
"Centerville, OH", Montgomery County, OH,24.1,"$52,538"
"Saint Peters, MO", Saint Charles County, MO,,"$100,075"
"Concord, NC", Cabarrus County, NC,9.0,"$69,297"
"Jacksonville, FL", Duval County, FL,25.5,"$35,156"
"West Chester, OH", Butler County, OH,8.7,"$67,161"
"Port Orchard, WA", Kitsap County, WA,9.1,"$76,530"
"Thomaston, GA", Upson County, GA,21.6,"$40,965"
"Lone Tree, CO", Douglas County, CO,11.7,"$50,637"
"Johnsburg, IL", McHenry County, IL,11.9,"$54,795"
"Athens, TX", Henderson County, TX,19.4,"$43,337"
"Port Matilda, PA", Centre County, PA,18.1,"$58,258"
"Ventura, CA",Ventura County, CA,9.1,"$84,170"
"Lakewood, OH", Cuyahoga County, OH,17.9,"$50,006"
"Fort Wayne, IN", Allen County, IN,14.4,"$50,301"
"Vacaville, CA", Solano County, CA,7.9,"$82,808"
"Gardena, CA", Los Angeles County, CA,14.2,"$67,986"
"Cedar Hill, MS", Madison County, MS,10.1,"$60,450"
"Temple Terrace, FL", Hillsborough County, FL,7.4,"$78,714"
"Humble, TX", Harris County, TX,16.5,"$60,241"
"Upland, CA", San Bernardino County, CA,14.9,"$63,310"
"Hugoton, KS", Stevens County, KS,13.5,"$51,183"
"Southfield, MI", Oakland County, MI,8.2,"$80,319"
"Winter Garden, FL", Orange County, FL,9.4,"$63,681"
"Delray Beach, FL", Palm Beach County, FL,12.2,"$61,735"
"Vero Beach, FL", Indian River County, FL,10.7,"$58,228"
"Fort Pierce, FL", St. Lucie County, FL,12.1,"$53,377"
"Metairie, LA", Jefferson Parish, LA,15.6,"$50,871"
"Rock Hill, SC", York County, SC,5.5,"$86,317"
"Pleasanton, CA", Alameda County, CA,9.0,"$101,744"
"Tarpon Springs, FL", Pinellas County, FL,11.7,"$52,226"
"Fort Worth, TX", Tarrant County, TX,12.1,"$66,059"
"Douglasville, GA", Douglas County, GA,11.7,"$50,637"
"San Antonio, TX", Bexar County, TX,17.2,"$54,210"
"Mount Pleasant, TX", Titus County, TX,18.6,"$45,604"
"Uvalde, TX",Uvalde County, TX,22.9,"$39,725"
"Oyster Bay, NY", Nassau County, NY,5.8,"$115,301"
"Keller, TX", Tarrant County, TX,12.1,"$66,059"
"Tyler, TX", Smith County, TX,15.0,"$56,848"
"Salado, TX", Bell County, TX,13.0,"$54,292"
"New Ellenton, SC", Aiken County, SC,15.0,"$52,633"
"East Stroudsburg, PA", Monroe County, PA,13.2,"$58,391"
"Clarksville, TN", Montgomery County, TN,24.1,"$52,538"
"Morganfield, KY", Union County, KY,19.8,"$40,322"
"Lexington, KY", Fayette County, KY,22.5,"$37,867"
"North Miami, FL", Miami-Dade County, FL,16.0,"$52,043"
"Knoxville, TN", Knox County, TN,20.4,"$39,726"
"Lebanon, PA",Lebanon County, PA,10.0,"$61,087"
"Batesville, MS", Independence County, MS,14.5,"$45,596"
"Flora, MS", Madison County, MS,10.1,"$60,450"
"Inverness, MS", Citrus County, MS,15.2,"$41,556"
"Tunica, MS", Tunica County, MS,26.5,"$33,143"
"Purvis, MS", Lamar County, MS,14.4,"$45,767"
"Petal, MS", Forrest County, MS,24.0,"$39,061"
"Mobile, AL", Dearborn County, AL,9.4,"$66,502"
"Gulfport, MS", Harrison County, MS,16.7,"$47,942"
"Pell City, AL", St. Clair County, AL,18.2,"$37,013"
"Madison, MS",,,,"$100,075"
"Wiggins, MS", Stone County, MS,13.4,"$46,026"
"Griffin, GA", Summit County, GA,6.2,"$105,374"
"Caledonia, MS", Lowndes County, MS,23.1,"$44,348"
"Marshall, WI", Dane County, WI,10.8,"$71,789"
"Smyrna, TN", Rutherford County, TN,10.4,"$64,170"
"Los Angeles, CA", Los Angeles County, CA,14.2,"$67,986"
"Chicago, IL", Cook County, IL,9.6,"$54,465"
"Oakland, CA", Alameda County, CA,9.0,"$101,744"
"Tacoma, WA", Pierce County, WA,8.5,"$75,421"
"Berkeley, CA", Alameda County, CA,9.0,"$101,744"
"Corvallis, OR", Benton County, OR,9.8,"$69,212"
"Inglewood, CA", Los Angeles County, CA,14.2,"$67,986"
"Richmond, CA", Contra Costa County, CA,7.8,"$101,463"
"Karlstad, ", Kittson County, ,10.0,"$54,438"
"East Palo Alto, CA", San Mateo County, CA,6.8,"$122,930"
"Merced, CA",Merced County, CA,21.2,"$56,169"
"Portola, CA", Plumas County, CA,12.5,"$55,079"
"Mission Viejo, CA", Orange County, CA,9.4,"$63,681"
"Milpitas, CA", Santa Clara County, CA,7.3,"$125,933"
"Cypress, TX", Harris County, TX,16.5,"$60,241"
"Marble Falls, TX", Burnet County, TX,11.0,"$56,696"
"Cleveland, OH", Cuyahoga County, OH,17.9,"$50,006"
"Philadelphia, PA", Philadelphia County, PA,24.3,"$46,149"
"Kenton, OH", Hardin County, OH,12.4,"$60,909"
"Turlock, CA", Stanislaus County, CA,15.6,"$59,616"
"Rio De Janeiro, ",,,,"$100,075"
"Beaumont, TX", Jefferson County, TX,8.1,"$65,831"
"Gonzales, LA",Gonzales County, LA,16.9,"$49,829"
"Austin, TX", Travis County, TX,12.0,"$76,255"
"Lake Charles, LA", Calcasieu Parish, LA,14.9,"$50,531"
"Neptune, NJ", Monmouth County, NJ,6.7,"$99,223"
"Valley City, OH", Medina County, OH,12.3,"$59,304"
"Channelview, TX", Harris County, TX,16.5,"$60,241"
"Columbus, OH", Franklin County, OH,13.4,"$60,483"
"San Jose, CA", Santa Clara County, CA,7.3,"$125,933"
"Mattawan, MI", Van Buren County, MI,16.3,"$38,265"
"Clarence, NY", Erie County, NY,15.3,"$48,453"
"Laurel, MD", Prince George's County, MD,8.3,"$82,445"
"La Crescenta, CA", Los Angeles County, CA,14.2,"$67,986"
"Rohnert Park, CA", Sonoma County, CA,9.9,"$81,002"
"Westlake Village, CA", Los Angeles County, CA,14.2,"$67,986"
"Burbank, CA", Los Angeles County, CA,14.2,"$67,986"
"Auburn, CA", Placer County, CA,7.1,"$89,175"
"Kaneohe, HI", Honolulu County, HI,7.7,"$83,695"
"Honolulu, HI", Honolulu County, HI,7.7,"$83,695"
"Menifee, CA", Riverside County, CA,12.7,"$66,793"
"Meridian, MS", Ada County, MS,9.7,"$66,827"
"Albany, GA", Franklin County, GA,13.4,"$60,483"
"Manahawkin, NJ", Ocean County, NJ,9.7,"$68,483"
"Swisher, IA",,,,"$100,075"
"Needville, TX", Fort Bend County, TX,7.9,"$92,310"
"San Francisco, CA", San Francisco City and County, CA,,"$100,075"
"Chatsworth, CA", Los Angeles County, CA,14.2,"$67,986"
"Rancho Cucamonga, CA", San Bernardino County, CA,14.9,"$63,310"
"Pawtucket, RI",,,,"$100,075"
"Katy, TX", Fort Bend County, TX,7.9,"$92,310"
"Charlotte, NC", Mecklenburg County, NC,18.7,"$44,832"
"Buffalo, TX", Leon County, TX,15.6,"$47,065"
"North Miami Beach, FL", Miami-Dade County, FL,16.0,"$52,043"
"Gastonia, NC", Gaston County, NC,14.2,"$52,798"
"Rancho Santa Margarita, CA", Orange County, CA,9.4,"$63,681"
