id,full_name,first_name,last_name,position,position_group,section,college,draft_year,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons
,Christian Miller,Christian,Miller,DE,DL,D,Alabama,2019,31,0,1,0,0,28,0,0,0,15.5,2,11.0,4,25,56,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3728266.0,Christian Wilkins,Christian,Wilkins,DL,DL,D,Clemson,2019,98,2,4,0,0,55,0,0,0,40.5,15,16.0,4,94,192,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3116144.0,Clayton Thorson,Clayton,Thorson,QB,QB,O,Northwestern,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1696,230.9,991,53,45,61,10731,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3728258.0,Clelin Ferrell,Clelin,Ferrell,DE,DL,D,Clemson,2019,82,5,1,1,0,44,0,0,0,50.5,5,27.0,4,84,166,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3926229.0,Cody Barton,Cody,Barton,OLB,LB,D,Utah,2019,103,1,3,0,0,39,1,0,7,24.5,10,9.0,4,132,235,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3126115.0,Cody Thompson,Cody,Thompson,WR,WR,O,Toledo,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,3312,181,0,0,0,181,30,3312,5
4033748.0,Connor McGovern,Connor,McGovern,OT,OL,O,Penn State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4047650.0,D.K. Metcalf,D.K.,Metcalf,WR,WR,O,Ole Miss,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,1228,67,0,0,0,67,14,1228,3
,D'Andre Walker,D'Andre,Walker,DE,DL,D,Georgia,2019,47,5,1,0,0,38,0,0,0,27.5,4,13.5,4,65,112,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3121542.0,D'Cota Dixon,D'Cota,Dixon,S,DB,D,Wisconsin,2019,71,3,2,0,0,44,5,0,44,8.5,11,2.5,5,108,179,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3139453.0,Dakota Allen,Dakota,Allen,OLB,LB,D,Texas Tech,2019,115,1,3,1,0,34,4,0,40,17.5,7,2.0,3,134,249,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
