full_name,first_name,last_name,college,draft_year,position,position_group,section,forty,vertical,bench,broad,threecone,shuttle
Deebo Samuel,Deebo,Samuel,South Carolina,2019,WR,WR,O,4.48,39.0,15.0,122.0,7.03,4.14
Deion Calhoun,Deion,Calhoun,Mississippi St.,2019,OT,OL,O,5.07,28.5,26.0,105.0,7.46,4.62
Deionte Thompson,Deionte,Thompson,Alabama,2019,S,DB,D,,,,,,
Demarcus Christmas,Demarcus,Christmas,Florida St.,2019,DL,DL,D,5.08,25.5,22.0,101.0,8.13,5.07
Derrek Thomas,Derrek,Thomas,Baylor,2019,CB,DB,D,4.44,39.5,8.0,131.0,,
Derrick Baity,Derrick,Baity,Kentucky,2019,CB,DB,D,,38.5,10.0,127.0,7.06,4.31
Derwin Gray,Derwin,Gray,Maryland,2019,OT,OL,O,5.26,,26.0,90.0,,
Deshaun Davis,Deshaun,Davis,Auburn,2019,OLB,LB,D,,31.0,25.0,111.0,,4.38
Devin Bush,Devin,Bush,Michigan,2019,OLB,LB,D,4.43,40.5,21.0,124.0,6.93,4.23
Devin Singletary,Devin,Singletary,Florida Atlantic,2019,RB,RB,O,4.66,35.0,15.0,117.0,7.32,4.4
Devin White,Devin,White,LSU,2019,OLB,LB,D,4.42,39.5,22.0,118.0,7.07,4.17
Devon Johnson,Devon,Johnson,Ferris St.,2019,OT,OL,O,5.16,27.5,26.0,89.0,8.34,5.28
Dexter Lawrence,Dexter,Lawrence,Clemson,2019,DL,DL,D,5.05,,36.0,,,
Dexter Williams,Dexter,Williams,Notre Dame,2019,RB,RB,O,4.57,36.0,17.0,130.0,7.0,4.16
Dillon Mitchell,Dillon,Mitchell,Oregon,2019,WR,WR,O,4.46,36.5,12.0,122.0,,4.29
Diontae Johnson,Diontae,Johnson,Toledo,2019,WR,WR,O,4.53,33.5,15.0,123.0,7.09,4.45
Donnell Greene,Donnell,Greene,Minnesota,2019,OT,OL,O,,,,,,
Donovan Wilson,Donovan,Wilson,Texas A&M,2019,S,DB,D,,36.0,18.0,127.0,,
Dontavius Russell,Dontavius,Russell,Auburn,2019,DL,DL,D,5.15,,24.0,,7.81,4.77
Dre Greenlaw,Dre,Greenlaw,Arkansas,2019,OLB,LB,D,,33.0,24.0,117.0,,
Dre'Mont Jones,Dre'Mont,Jones,Ohio St.,2019,DL,DL,D,5.12,31.5,,110.0,7.71,4.53
Drew Lock,Drew,Lock,Missouri,2019,QB,QB,O,4.69,31.0,,112.0,7.03,4.12
Drew Sample,Drew,Sample,Washington,2019,TE,TE,O,4.71,33.5,,115.0,7.15,4.31
Dru Samia,Dru,Samia,Oklahoma,2019,OT,OL,O,5.29,27.5,28.0,101.0,7.89,4.7
Drue Tranquill,Drue,Tranquill,Notre Dame,2019,OLB,LB,D,4.57,37.5,31.0,122.0,6.94,4.14
Dwayne Haskins,Dwayne,Haskins,Ohio St.,2019,QB,QB,O,5.04,28.5,,,,
Ed Oliver,Ed,Oliver,Houston,2019,DL,DL,D,,36.0,32.0,120.0,,
Elgton Jenkins,Elgton,Jenkins,Mississippi St.,2019,OT,OL,O,,28.0,29.0,109.0,7.77,4.62
Elijah Holyfield,Elijah,Holyfield,Georgia,2019,RB,RB,O,4.78,29.5,26.0,118.0,,
Emanuel Hall,Emanuel,Hall,Missouri,2019,WR,WR,O,4.39,43.5,15.0,141.0,,
Emeke Egbule,Emeke,Egbule,Houston,2019,OLB,LB,D,4.65,33.0,20.0,119.0,7.38,4.38
Emmanuel Butler,Emmanuel,Butler,Northern Arizona,2019,WR,WR,O,,36.0,11.0,115.0,,4.22
Evan Worthington,Evan,Worthington,Colorado,2019,S,DB,D,4.63,33.5,17.0,121.0,7.07,4.37
Felton Davis,Felton,Davis,Michigan St.,2019,WR,WR,O,,,21.0,,,
Foster Moreau,Foster,Moreau,LSU,2019,TE,TE,O,4.66,36.5,22.0,121.0,7.16,4.11
Gardner Minshew,Gardner,Minshew,Washington St.,2019,QB,QB,O,4.97,33.5,,116.0,7.14,4.45
Garrett Bradbury,Garrett,Bradbury,North Carolina St.,2019,OT,OL,O,4.92,31.0,34.0,104.0,7.41,4.53
Gary Jennings,Gary,Jennings,West Virginia,2019,WR,WR,O,4.42,37.0,20.0,127.0,7.32,4.15
Gary Johnson,Gary,Johnson,Texas,2019,OLB,LB,D,4.43,33.5,16.0,121.0,7.15,4.57
Gerald Willis,Gerald,Willis,Miami,2019,DL,DL,D,,,,,,
Germaine Pratt,Germaine,Pratt,North Carolina St.,2019,OLB,LB,D,4.57,32.5,24.0,116.0,,
Gerri Green,Gerri,Green,Mississippi St.,2019,DE,DL,D,4.63,35.0,24.0,114.0,7.27,4.42
Greedy Williams,Greedy,Williams,LSU,2019,CB,DB,D,4.37,,,,,
Greg Dortch,Greg,Dortch,Wake Forest,2019,WR,WR,O,,,,,,
Greg Gaines,Greg,Gaines,Washington,2019,DL,DL,D,5.16,31.0,30.0,109.0,,
Hakeem Butler,Hakeem,Butler,Iowa St.,2019,WR,WR,O,4.48,36.0,18.0,128.0,,
Hamp Cheevers,Hamp,Cheevers,Boston College,2019,CB,DB,D,4.52,39.0,8.0,122.0,6.96,4.25
Hjalte Froholdt,Hjalte,Froholdt,Arkansas,2019,OT,OL,O,5.2,27.5,31.0,105.0,7.51,4.54
Hunter Renfrow,Hunter,Renfrow,Clemson,2019,WR,WR,O,4.59,35.0,7.0,116.0,6.8,4.19
Iman Lewis-Marshall,Iman,Lewis-Marshall,USC,2019,CB,DB,D,4.53,,16.0,,,
Irv Smith,Irv,Smith,Alabama,2019,TE,TE,O,4.63,32.5,19.0,110.0,7.32,4.33
Isaac Nauta,Isaac,Nauta,Georgia,2019,TE,TE,O,4.91,28.0,19.0,,7.45,4.43
Isaiah Buggs,Isaiah,Buggs,Alabama,2019,DL,DL,D,5.15,24.5,20.0,96.0,8.01,4.83
Isaiah Johnson,Isaiah,Johnson,Houston,2019,CB,DB,D,4.4,36.5,,133.0,6.81,4.06
Isaiah Prince,Isaiah,Prince,Ohio St.,2019,OT,OL,O,5.09,27.0,23.0,115.0,7.9,5.02
J.J. Arcega-Whiteside,J.J.,Arcega-Whiteside,Stanford,2019,WR,WR,O,,,,,,
Jace Sternberger,Jace,Sternberger,Texas A&M,2019,TE,TE,O,4.75,31.5,17.0,113.0,7.19,4.31
Jachai Polite,Jachai,Polite,Florida,2019,DE,DL,D,4.84,32.0,,,,
Jackson Barton,Jackson,Barton,Utah,2019,OT,OL,O,5.18,27.0,25.0,109.0,7.85,4.66
Jahlani Tavai,Jahlani,Tavai,Hawaii,2019,OLB,LB,D,,,,,,
Jake Browning,Jake,Browning,Washington,2019,QB,QB,O,4.74,29.0,,112.0,7.19,4.44
Jakobi Meyers,Jakobi,Meyers,North Carolina St.,2019,WR,WR,O,4.63,37.0,13.0,118.0,7.07,4.23
Jalen Hurd,Jalen,Hurd,Baylor,2019,WR,WR,O,,,23.0,,,
Jalen Jelks,Jalen,Jelks,Oregon,2019,DE,DL,D,4.92,32.5,19.0,113.0,7.22,4.59
Jalin Moore,Jalin,Moore,Appalachian St.,2019,RB,RB,O,,,27.0,,,
Jamal Custis,Jamal,Custis,Syracuse,2019,WR,WR,O,4.5,34.5,,124.0,,
Jamal Davis,Jamal,Davis,Akron,2019,DE,DL,D,4.6,39.0,19.0,122.0,7.0,4.44
Jamal Peters,Jamal,Peters,Mississippi St.,2019,CB,DB,D,4.63,,,,,
Jamarius Way,Jamarius,Way,South Alabama,2019,WR,WR,O,4.63,32.5,16.0,119.0,,4.66
Jamel Dean,Jamel,Dean,Auburn,2019,CB,DB,D,4.3,41.0,16.0,130.0,7.02,4.19
James Williams,James,Williams,Washington St.,2019,RB,RB,O,4.58,36.5,,118.0,7.01,4.25
Jaquan Johnson,Jaquan,Johnson,Miami,2019,S,DB,D,4.69,33.0,18.0,121.0,,
Jarrett Stidham,Jarrett,Stidham,Auburn,2019,QB,QB,O,4.81,31.0,,110.0,7.28,4.33
Jawaan Taylor,Jawaan,Taylor,Florida,2019,OT,OL,O,,,24.0,,,
Jaylen Smith,Jaylen,Smith,Louisville,2019,WR,WR,O,4.47,34.5,14.0,122.0,7.55,4.48
Jazz Ferguson,Jazz,Ferguson,Northwestern St. (LA),2019,WR,WR,O,4.45,37.0,8.0,123.0,7.25,4.59
Jeff Allison,Jeff,Allison,Fresno St.,2019,OLB,LB,D,4.82,31.0,12.0,115.0,7.2,4.45
Jerry Tillery,Jerry,Tillery,Notre Dame,2019,DL,DL,D,4.93,32.0,23.0,115.0,7.45,4.33
Joe Giles-Harris,Joe,Giles-Harris,Duke,2019,OLB,LB,D,4.75,29.5,17.0,111.0,,
Joe Jackson,Joe,Jackson,Miami,2019,DL,DL,D,,27.0,22.0,109.0,,
Joejuan Williams,Joejuan,Williams,Vanderbilt,2019,CB,DB,D,4.64,,17.0,,,
John Battle,John,Battle,LSU,2019,S,DB,D,4.67,29.5,,120.0,7.09,4.33
Johnathan Abram,Johnathan,Abram,Mississippi St.,2019,S,DB,D,4.45,,,116.0,,
Johnnie Dixon,Johnnie,Dixon,Ohio St.,2019,WR,WR,O,4.41,37.5,16.0,120.0,,4.43
Jonathan Crawford,Jonathan,Crawford,Indiana,2019,S,DB,D,,31.5,16.0,115.0,,
Jonathan Ledbetter,Jonathan,Ledbetter,Georgia,2019,DL,DL,D,5.14,26.5,22.0,108.0,,
Jordan Brailford,Jordan,Brailford,Oklahoma St.,2019,DE,DL,D,4.65,37.5,22.0,126.0,,
Jordan Brown,Jordan,Brown,South Dakota St.,2019,CB,DB,D,4.51,39.5,13.0,128.0,,
Jordan Jones,Jordan,Jones,Kentucky,2019,OLB,LB,D,4.62,32.5,23.0,123.0,,4.37
Jordan Miller,Jordan,Miller,Washington,2019,CB,DB,D,4.49,37.0,6.0,125.0,,
Jordan Scarlett,Jordan,Scarlett,Florida,2019,RB,RB,O,4.47,30.0,21.0,116.0,7.37,4.63
Jordan Ta'amu,Jordan,Ta'amu,Mississippi,2019,QB,QB,O,4.77,27.5,,109.0,7.06,4.36
Josh Allen,Josh,Allen,Kentucky,2019,DE,DL,D,4.63,,28.0,118.0,7.15,4.23
Josh Jacobs,Josh,Jacobs,Alabama,2019,RB,RB,O,,,,,,
Josh Oliver,Josh,Oliver,San Jose St.,2019,TE,TE,O,4.63,34.0,22.0,117.0,7.21,4.47
Jovon Durante,Jovon,Durante,Florida Atlantic,2019,WR,WR,O,4.55,31.5,,120.0,7.0,4.31
Juan Thornhill,Juan,Thornhill,Virginia,2019,S,DB,D,4.42,44.0,21.0,141.0,,
Julian Love,Julian,Love,Notre Dame,2019,CB,DB,D,4.54,36.0,14.0,121.0,6.72,4.1
Justice Hill,Justice,Hill,Oklahoma St.,2019,RB,RB,O,4.4,40.0,21.0,130.0,,
Justin Hollins,Justin,Hollins,Oregon,2019,DE,DL,D,4.5,36.5,25.0,119.0,7.06,4.4
Justin Layne,Justin,Layne,Michigan St.,2019,CB,DB,D,4.5,37.5,,134.0,6.9,4.09
Kaden Smith,Kaden,Smith,Stanford,2019,TE,TE,O,4.92,32.0,15.0,108.0,7.08,4.47
Kahale Warring,Kahale,Warring,San Diego St.,2019,TE,TE,O,4.67,36.5,19.0,122.0,7.21,4.25
Kaleb McGary,Kaleb,McGary,Washington,2019,OT,OL,O,5.05,33.5,23.0,111.0,7.66,4.58
Karan Higdon,Karan,Higdon,Michigan,2019,RB,RB,O,4.49,34.0,21.0,123.0,,
Keelan Doss,Keelan,Doss,UC Davis,2019,WR,WR,O,,,8.0,,,
Keenen Brown,Keenen,Brown,Texas St.,2019,TE,TE,O,4.75,33.0,17.0,117.0,7.27,4.51
Keesean Johnson,Keesean,Johnson,Fresno St.,2019,WR,WR,O,4.6,30.0,14.0,117.0,7.28,4.23
Kelvin Harmon,Kelvin,Harmon,North Carolina St.,2019,WR,WR,O,4.6,32.5,18.0,117.0,7.15,4.32
Ken Webster,Ken,Webster,Mississippi,2019,CB,DB,D,4.43,43.0,18.0,133.0,6.85,4.14
Kendall Blanton,Kendall,Blanton,Missouri,2019,TE,TE,O,4.95,31.0,22.0,113.0,7.37,4.42
Kendall Joseph,Kendall,Joseph,Clemson,2019,OLB,LB,D,,,25.0,,,
Kendall Sheffield,Kendall,Sheffield,Ohio St.,2019,CB,DB,D,,,,,,
Kevin Givens,Kevin,Givens,Penn St.,2019,DL,DL,D,5.08,31.0,32.0,115.0,7.63,4.62
Khari Willis,Khari,Willis,Michigan St.,2019,S,DB,D,4.52,34.5,22.0,118.0,,
Kingsley Keke,Kingsley,Keke,Texas A&M,2019,DL,DL,D,4.95,31.5,,111.0,7.55,4.46
Kris Boyd,Kris,Boyd,Texas,2019,CB,DB,D,4.45,36.5,19.0,127.0,6.94,4.08
Kyle Shurmur,Kyle,Shurmur,Vanderbilt,2019,QB,QB,O,4.91,29.5,,106.0,7.51,4.53
Kyler Murray,Kyler,Murray,Oklahoma,2019,QB,QB,O,,,,,,
L.J. Collier,L.J.,Collier,TCU,2019,DL,DL,D,4.91,30.0,25.0,118.0,7.71,4.78
Lamont Gaillard,Lamont,Gaillard,Georgia,2019,OT,OL,O,,,,,,
Lil'Jordan Humphrey,Lil'Jordan,Humphrey,Texas,2019,WR,WR,O,4.75,33.5,13.0,119.0,7.09,4.29
Lj Scott,Lj,Scott,Michigan St.,2019,RB,RB,O,,33.0,21.0,120.0,7.27,4.34
Lonnie Johnson,Lonnie,Johnson,Kentucky,2019,CB,DB,D,4.52,38.0,15.0,129.0,7.01,4.1
Lukas Denis,Lukas,Denis,Boston College,2019,S,DB,D,4.64,33.5,16.0,116.0,6.89,4.09
Mack Wilson,Mack,Wilson,Alabama,2019,OLB,LB,D,,32.0,,117.0,,
Malik Carney,Malik,Carney,North Carolina,2019,DE,DL,D,4.73,33.0,25.0,113.0,7.4,
Malik Gant,Malik,Gant,Marshall,2019,S,DB,D,4.63,34.5,17.0,114.0,7.45,4.3
Mark Fields,Mark,Fields,Clemson,2019,CB,DB,D,4.37,,18.0,,,
Mark McLaurin,Mark,McLaurin,Mississippi St.,2019,S,DB,D,4.77,36.0,12.0,,,4.46
Marquise Blair,Marquise,Blair,Utah,2019,S,DB,D,4.48,35.0,,125.0,,
Marquise Brown,Marquise,Brown,Oklahoma,2019,WR,WR,O,,,,,,
Martez Ivey,Martez,Ivey,Florida,2019,OT,OL,O,,,,,,
Marvell Tell,Marvell,Tell,USC,2019,S,DB,D,,42.0,,136.0,6.63,4.01
Max Scharping,Max,Scharping,Northern Illinois,2019,OT,OL,O,,28.0,27.0,108.0,7.77,4.69
Maxx Crosby,Maxx,Crosby,Eastern Michigan,2019,DL,DL,D,4.66,36.0,,122.0,6.89,4.13
Mecole Hardman,Mecole,Hardman,Georgia,2019,WR,WR,O,4.33,36.5,17.0,119.0,,
Michael Deiter,Michael,Deiter,Wisconsin,2019,OT,OL,O,5.23,28.0,21.0,105.0,7.88,4.81
Mike Bell,Mike,Bell,Fresno St.,2019,S,DB,D,4.83,30.0,10.0,118.0,7.1,4.46
