fms_city_id,city_state,county,state,poverty_pct,med_income
3334.0,"Upland, CA", San Bernardino County, CA,14.9,"$63,310"
1480.0,"Hugoton, KS", Stevens County, KS,13.5,"$51,183"
3100.0,"Southfield, MI", Oakland County, MI,8.2,"$80,319"
3584.0,"Winter Garden, FL", Orange County, FL,9.4,"$63,681"
825.0,"Delray Beach, FL", Palm Beach County, FL,12.2,"$61,735"
3361.0,"Vero Beach, FL", Indian River County, FL,10.7,"$58,228"
1080.0,"Fort Pierce, FL", St. Lucie County, FL,12.1,"$53,377"
2109.0,"Metairie, LA", Jefferson Parish, LA,15.6,"$50,871"
2824.0,"Rock Hill, SC", York County, SC,5.5,"$86,317"
2652.0,"Pleasanton, CA", Alameda County, CA,9.0,"$101,744"
3234.0,"Tarpon Springs, FL", Pinellas County, FL,11.7,"$52,226"
856.0,"Douglasville, GA", Douglas County, GA,11.7,"$50,637"
2248.0,"Mount Pleasant, TX", Titus County, TX,18.6,"$45,604"
3337.0,"Uvalde, TX",Uvalde County, TX,22.9,"$39,725"
2508.0,"Oyster Bay, NY", Nassau County, NY,5.8,"$115,301"
1631.0,"Keller, TX", Tarrant County, TX,12.1,"$66,059"
2902.0,"Salado, TX", Bell County, TX,13.0,"$54,292"
2314.0,"New Ellenton, SC", Aiken County, SC,15.0,"$52,633"
903.0,"East Stroudsburg, PA", Monroe County, PA,13.2,"$58,391"
616.0,"Clarksville, TN", Montgomery County, TN,24.1,"$52,538"
2220.0,"Morganfield, KY", Union County, KY,19.8,"$40,322"
2394.0,"North Miami, FL", Miami-Dade County, FL,16.0,"$52,043"
1808.0,"Lebanon, PA",Lebanon County, PA,10.0,"$61,087"
207.0,"Batesville, MS", Independence County, MS,14.5,"$45,596"
1038.0,"Flora, MS", Madison County, MS,10.1,"$60,450"
1522.0,"Inverness, MS", Citrus County, MS,15.2,"$41,556"
3307.0,"Tunica, MS", Tunica County, MS,26.5,"$33,143"
2725.0,"Purvis, MS", Lamar County, MS,14.4,"$45,767"
2599.0,"Petal, MS", Forrest County, MS,24.0,"$39,061"
1292.0,"Gulfport, MS", Harrison County, MS,16.7,"$47,942"
2576.0,"Pell City, AL", St. Clair County, AL,18.2,"$37,013"
1967.0,"Madison, MS",,,,"$100,075"
3547.0,"Wiggins, MS", Stone County, MS,13.4,"$46,026"
1283.0,"Griffin, GA", Summit County, GA,6.2,"$105,374"
449.0,"Caledonia, MS", Lowndes County, MS,23.1,"$44,348"
2034.0,"Marshall, WI", Dane County, WI,10.8,"$71,789"
3065.0,"Smyrna, TN", Rutherford County, TN,10.4,"$64,170"
585.0,"Chicago, IL", Cook County, IL,9.6,"$54,465"
2438.0,"Oakland, CA", Alameda County, CA,9.0,"$101,744"
3224.0,"Tacoma, WA", Pierce County, WA,8.5,"$75,421"
1516.0,"Inglewood, CA", Los Angeles County, CA,14.2,"$67,986"
2788.0,"Richmond, CA", Contra Costa County, CA,7.8,"$101,463"
1620.0,"Karlstad, ", Kittson County, ,10.0,"$54,438"
901.0,"East Palo Alto, CA", San Mateo County, CA,6.8,"$122,930"
2102.0,"Merced, CA",Merced County, CA,21.2,"$56,169"
2687.0,"Portola, CA", Plumas County, CA,12.5,"$55,079"
2167.0,"Mission Viejo, CA", Orange County, CA,9.4,"$63,681"
2148.0,"Milpitas, CA", Santa Clara County, CA,7.3,"$125,933"
767.0,"Cypress, TX", Harris County, TX,16.5,"$60,241"
2013.0,"Marble Falls, TX", Burnet County, TX,11.0,"$56,696"
631.0,"Cleveland, OH", Cuyahoga County, OH,17.9,"$50,006"
1641.0,"Kenton, OH", Hardin County, OH,12.4,"$60,909"
3309.0,"Turlock, CA", Stanislaus County, CA,15.6,"$59,616"
2801.0,"Rio De Janeiro, ",,,,"$100,075"
221.0,"Beaumont, TX", Jefferson County, TX,8.1,"$65,831"
1217.0,"Gonzales, LA",Gonzales County, LA,16.9,"$49,829"
2300.0,"Neptune, NJ", Monmouth County, NJ,6.7,"$99,223"
3343.0,"Valley City, OH", Medina County, OH,12.3,"$59,304"
545.0,"Channelview, TX", Harris County, TX,16.5,"$60,241"
2049.0,"Mattawan, MI", Van Buren County, MI,16.3,"$38,265"
610.0,"Clarence, NY", Erie County, NY,15.3,"$48,453"
1785.0,"Laurel, MD", Prince George's County, MD,8.3,"$82,445"
1685.0,"La Crescenta, CA", Los Angeles County, CA,14.2,"$67,986"
2838.0,"Rohnert Park, CA", Sonoma County, CA,9.9,"$81,002"
3515.0,"Westlake Village, CA", Los Angeles County, CA,14.2,"$67,986"
421.0,"Burbank, CA", Los Angeles County, CA,14.2,"$67,986"
151.0,"Auburn, CA", Placer County, CA,7.1,"$89,175"
1612.0,"Kaneohe, HI", Honolulu County, HI,7.7,"$83,695"
2095.0,"Menifee, CA", Riverside County, CA,12.7,"$66,793"
2104.0,"Meridian, MS", Ada County, MS,9.7,"$66,827"
29.0,"Albany, GA", Franklin County, GA,13.4,"$60,483"
1982.0,"Manahawkin, NJ", Ocean County, NJ,9.7,"$68,483"
3213.0,"Swisher, IA",,,,"$100,075"
2297.0,"Needville, TX", Fort Bend County, TX,7.9,"$92,310"
2923.0,"San Francisco, CA", San Francisco City and County, CA,,"$100,075"
565.0,"Chatsworth, CA", Los Angeles County, CA,14.2,"$67,986"
2741.0,"Rancho Cucamonga, CA", San Bernardino County, CA,14.9,"$63,310"
2559.0,"Pawtucket, RI",,,,"$100,075"
1622.0,"Katy, TX", Fort Bend County, TX,7.9,"$92,310"
415.0,"Buffalo, TX", Leon County, TX,15.6,"$47,065"
2393.0,"North Miami Beach, FL", Miami-Dade County, FL,16.0,"$52,043"
1157.0,"Gastonia, NC", Gaston County, NC,14.2,"$52,798"
2744.0,"Rancho Santa Margarita, CA", Orange County, CA,9.4,"$63,681"
1884.0,"Loma Rica, CA", Yuba County, CA,17.2,"$47,504"
3537.0,"Whitehouse, TX", Smith County, TX,15.0,"$56,848"
2876.0,"Sacramento, CA", Sacramento County, CA,14.3,"$69,475"
1264.0,"Greenville, AL", Williamson County, AL,6.4,"$87,817"
1845.0,"Lilburn, GA", Gwinnett County, GA,9.2,"$72,008"
642.0,"Clinton, MS", Worcester County, MS,9.0,"$71,767"
2959.0,"Saraland, AL", Mobile County, AL,20.8,"$43,598"
1371.0,"Hazlehurst, MS", Copiah County, MS,26.5,"$38,664"
1113.0,"Frederick, MD", Frederick County, MD,7.0,"$77,684"
1561.0,"Jasper, AL", Walker County, AL,26.1,"$43,681"
2893.0,"Saint Louis, MO",,,,"$100,075"
1746.0,"Lakewood, CA", Los Angeles County, CA,14.2,"$67,986"
101.0,"Antioch, CA", Contra Costa County, CA,7.8,"$101,463"
1597.0,"Joshua, TX", Johnson County, TX,10.3,"$57,676"
718.0,"Corona, CA", Riverside County, CA,12.7,"$66,793"
2513.0,"Pacoima, CA", Los Angeles County, CA,14.2,"$67,986"
3504.0,"West Valley, UT", Armstrong County, UT,10.7,"$57,210"
2486.0,"Orinda, CA", Contra Costa County, CA,7.8,"$101,463"
3462.0,"Wedowee, AL", Randolph County, AL,19.4,"$40,064"
2900.0,"Saint Petersburg, FL", Pinellas County, FL,11.7,"$52,226"
586.0,"Chico, CA", Butte County, CA,14.3,"$44,388"
2459.0,"Olive Branch, MS", DeSoto County, MS,9.0,"$68,126"
1926.0,"Loveland, CO", Larimer County, CO,10.5,"$71,306"
782.0,"Dania Beach, FL", Broward County, FL,12.6,"$57,200"
2007.0,"Maple City, MI", Leelanau County, MI,7.0,"$67,349"
2227.0,"Morristown, NJ", Morris County, NJ,20.2,"$41,418"
2094.0,"Mendota Heights, MN", Dakota County, MN,12.4,"$55,522"
584.0,"Chicago Heights, IL", Cook County, IL,9.6,"$54,465"
3114.0,"Spotswood, NJ", Middlesex County, NJ,12.7,"$54,871"
2072.0,"Mckinney, TX", Collin County, TX,6.4,"$96,936"
3331.0,"Uniontown, PA", Fayette County, PA,22.5,"$37,867"
1834.0,"Lexington Park, MD", Saint Mary's County, MD,,"$100,075"
840.0,"Dickinson, TX", Galveston County, TX,12.1,"$71,959"
3066.0,"Snellville, GA", Gwinnett County, GA,9.2,"$72,008"
3021.0,"Shelby Twp, MI", Oceana County, MI,15.5,"$50,374"
597.0,"Cibolo, TX", Guadalupe County, TX,8.5,"$73,864"
3018.0,"Shawnee, KS",Shawnee County, KS,13.9,"$53,612"
280.0,"Bethlehem, PA", Northampton County, PA,18.8,"$43,157"
2346.0,"Newport Beach, CA", Orange County, CA,9.4,"$63,681"
3477.0,"West Bountiful, UT",,,,"$100,075"
3161.0,"Sterling, UT", Sanpete County, UT,14.8,"$52,910"
1291.0,"Gulf Breeze, FL", Santa Rosa County, FL,9.5,"$69,541"
803.0,"Dayton, OH", Montgomery County, OH,24.1,"$52,538"
2194.0,"Montgomery Village, MD", Montgomery County, MD,24.1,"$52,538"
3326.0,"Union, MS", Salt Lake County, MS,9.0,"$73,619"
335.0,"Bossier City, LA", Bossier Parish, LA,14.4,"$56,754"
3621.0,"Yorba Linda, CA", Orange County, CA,9.4,"$63,681"
266.0,"Bentonia, MS", Yazoo County, MS,37.1,"$33,111"
3568.0,"Wilmington, NC", New Hanover County, NC,15.3,"$53,419"
3383.0,"Visalia, CA", Tulare County, CA,22.2,"$48,763"
1432.0,"Holden, LA", Johnson County, LA,10.3,"$57,676"
80.0,"Anaheim, CA", Orange County, CA,9.4,"$63,681"
1380.0,"Hendersonville, TN", Sumner County, TN,8.9,"$66,171"
2216.0,"Moreno Valley, CA", Riverside County, CA,12.7,"$66,793"
2763.0,"Redmond, WA", King County, WA,9.2,"$94,822"
2651.0,"Pleasant Grove, UT", Utah County, UT,9.4,"$75,296"
923.0,"El Segundo, CA", Los Angeles County, CA,14.2,"$67,986"
838.0,"Diamond Bar, CA", Los Angeles County, CA,14.2,"$67,986"
43.0,"Algona, IA", Kossuth County, IA,10.1,"$55,486"
1888.0,"London, ", Laurel County, ,20.6,"$41,425"
1636.0,"Kenner, LA", Jefferson Parish, LA,15.6,"$50,871"
1696.0,"La Puente, CA", Los Angeles County, CA,14.2,"$67,986"
8.0,"Achern, ",,,,"$100,075"
3350.0,"Van Vleck, TX", Matagorda County, TX,18.4,"$48,830"
793.0,"Darien, CT", Monmouth County, CT,6.7,"$99,223"
1930.0,"Lowell, MA", Middlesex County, MA,12.7,"$54,871"
3124.0,"Spring Valley, NY", Rockland County, NY,13.9,"$88,960"
3637.0,"Zeeland, MI", Ottawa County, MI,20.6,"$38,194"
1637.0,"Kennesaw, GA", Cobb County, GA,9.1,"$78,603"
497.0,"Carrollton, TX", Dallas County, TX,14.2,"$59,838"
1146.0,"Garden City, KS", Finney County, KS,13.2,"$56,206"
1683.0,"La Canada Flintridge, CA", Los Angeles County, CA,14.2,"$67,986"
