fms_id,espn_id,fms_college_id,full_name,first_name,last_name,position,position_group,section,college,draft_year,selection_number,position_rank,position_group_rank,section_rank,drafting_team,home_city,home_state,home_country,college_weight_pounds,college_height_inches
1841,3843945.0,110,Foster Moreau,Foster,Moreau,TE,TE,O,LSU,2019,,,,,,New Orleans,LA        ,USA,253,76
1873,,302,Gardner Minshew,Gardner,Minshew,QB,QB,O,Washington State,2019,,,,,,,,,225,73
1877,,160,Garrett Bradbury,Garrett,Bradbury,OT,OL,O,North Carolina St.,2019,,,,,,,,,306,75
1889,3916071.0,308,Gary Jennings,Gary,Jennings,WR,WR,O,West Virginia,2019,,,,,,Stafford,VA        ,USA,214,73
1890,4259349.0,230,Gary Johnson,Gary,Johnson,OLB,LB,D,Texas,2019,,,,,,Douglas,AL        ,USA,226,72
1917,,126,Gerald Willis,Gerald,Willis,DL,DL,D,Miami,2019,,,,,,,,,302,74
1920,,160,Germaine Pratt,Germaine,Pratt,OLB,LB,D,North Carolina St.,2019,,,,,,,,,240,74
1925,559648.0,134,Gerri Green,Gerri,Green,DE,DL,D,Mississippi State,2019,,,,,,Greenville,MS        ,USA,252,76
1950,4035437.0,110,Greedy Williams,Greedy,Williams,CB,DB,D,LSU,2019,,,,,,Shreveport,LA        ,USA,185,74
1954,4037235.0,300,Greg Dortch,Greg,Dortch,WR,WR,O,Wake Forest,2019,,,,,,Richmond,VA        ,USA,173,67
1955,3127294.0,301,Greg Gaines,Greg,Gaines,DL,DL,D,Washington,2019,,,,,,La Habra,CA        ,USA,312,73
1982,3917940.0,101,Hakeem Butler,Hakeem,Butler,WR,WR,O,Iowa State,2019,,,,,,Baltimore,MD        ,USA,227,77
1987,4035339.0,26,Hamp Cheevers,Hamp,Cheevers,CB,DB,D,Boston College,2019,,,,,,Trenton,FL        ,USA,169,69
2014,3886633.0,11,Hjalte Froholdt,Hjalte,Froholdt,OT,OL,O,Arkansas,2019,,,,,,,,Denmark,306,77
2023,3135321.0,48,Hunter Renfrow,Hunter,Renfrow,WR,WR,O,Clemson,2019,,,,,,Myrtle Beach,SC        ,USA,184,70
2040,,256,Iman Lewis-Marshall,Iman,Lewis-Marshall,CB,DB,D,USC,2019,,,,,,,,,207,73
2042,,3,Irv Smith,Irv,Smith,TE,TE,O,Alabama,2019,,,,,,,,,242,74
2044,4035014.0,80,Isaac Nauta,Isaac,Nauta,TE,TE,O,Georgia,2019,,,,,,Buford,GA        ,USA,244,75
2048,4241451.0,3,Isaiah Buggs,Isaiah,Buggs,DL,DL,D,Alabama,2019,,,,,,Ruston,LA        ,USA,306,75
2052,3126182.0,89,Isaiah Johnson,Isaiah,Johnson,CB,DB,D,Houston,2019,,,,,,Bryan,TX        ,USA,208,74
2057,3915532.0,176,Isaiah Prince,Isaiah,Prince,OT,OL,O,Ohio State,2019,,,,,,Greenbelt,MD        ,USA,305,78
2066,3931397.0,218,J.J. Arcega-Whiteside,J.J.,Arcega-Whiteside,WR,WR,O,Stanford,2019,,,,,,Inman,SC        ,USA,225,74
2090,,232,Jace Sternberger,Jace,Sternberger,TE,TE,O,Texas A&M,2019,,,,,,,,,251,76
2091,4034967.0,70,Jachai Polite,Jachai,Polite,DE,DL,D,Florida,2019,,,,,,Daytona Beach,FL        ,USA,258,75
2100,3122865.0,290,Jackson Barton,Jackson,Barton,OT,OL,O,Utah,2019,,,,,,Salt Lake City,UT        ,USA,310,79
2120,3124587.0,87,Jahlani Tavai,Jahlani,Tavai,OLB,LB,D,Hawaii,2019,,,,,,Inglewood,CA        ,USA,250,74
2130,3886812.0,301,Jake Browning,Jake,Browning,QB,QB,O,Washington,2019,,,,,,Folsom,CA        ,USA,211,74
2141,,160,Jakobi Meyers,Jakobi,Meyers,WR,WR,O,North Carolina St.,2019,,,,,,,,,203,74
2145,,20,Jalen Hurd,Jalen,Hurd,WR,WR,O,Baylor,2019,,,,,,,,,226,77
2146,3122692.0,181,Jalen Jelks,Jalen,Jelks,DE,DL,D,Oregon,2019,,,,,,Phoenix,AZ        ,USA,256,77
2156,3123675.0,8,Jalin Moore,Jalin,Moore,RB,RB,O,Appalachian State,2019,,,,,,Shelby,NC        ,USA,212,70
2168,3124013.0,223,Jamal Custis,Jamal,Custis,WR,WR,O,Syracuse,2019,,,,,,Philadelphia,PA        ,USA,214,76
2169,,2,Jamal Davis,Jamal,Davis,DE,DL,D,Akron,2019,,,,,,,,,243,75
2171,3917279.0,134,Jamal Peters,Jamal,Peters,CB,DB,D,Mississippi State,2019,,,,,,Bassfield,MS        ,USA,218,74
2185,4261077.0,202,Jamarius Way,Jamarius,Way,WR,WR,O,South Alabama,2019,,,,,,Belle Glade,FL        ,USA,215,75
2189,3873935.0,15,Jamel Dean,Jamel,Dean,CB,DB,D,Auburn,2019,,,,,,Cocoa,FL        ,USA,206,73
2228,3884368.0,302,James Williams,James,Williams,RB,RB,O,Washington State,2019,,,,,,Burbank,CA        ,USA,197,69
2246,3672862.0,126,Jaquan Johnson,Jaquan,Johnson,S,DB,D,Miami,2019,,,,,,Miami,FL        ,USA,191,70
2271,,15,Jarrett Stidham,Jarrett,Stidham,QB,QB,O,Auburn,2019,,,,,,,,,218,74
2334,4034961.0,70,Jawaan Taylor,Jawaan,Taylor,OT,OL,O,Florida,2019,,,,,,Cocoa,FL        ,USA,312,77
2347,3916418.0,120,Jaylen Smith,Jaylen,Smith,WR,WR,O,Louisville,2019,,,,,,Pascagoula,MS        ,USA,219,74
2354,,170,Jazz Ferguson,Jazz,Ferguson,WR,WR,O,Northwestern St. (LA),2019,,,,,,,,,227,77
2357,4040893.0,77,Jeff Allison,Jeff,Allison,OLB,LB,D,Fresno State,2019,,,,,,Miami,FL        ,USA,228,71
2454,3863182.0,173,Jerry Tillery,Jerry,Tillery,DL,DL,D,Notre Dame,2019,,,,,,Shreveport,LA        ,USA,295,78
2493,3917797.0,60,Joe Giles-Harris,Joe,Giles-Harris,OLB,LB,D,Duke,2019,,,,,,Nyack,NY        ,USA,234,74
2498,3123059.0,126,Joe Jackson,Joe,Jackson,DL,DL,D,Miami,2019,,,,,,Miami,FL        ,USA,275,76
2515,4035286.0,293,Joejuan Williams,Joejuan,Williams,CB,DB,D,Vanderbilt,2019,,,,,,Nashville,TN        ,USA,211,76
2530,559590.0,110,John Battle,John,Battle,S,DB,D,LSU,2019,,,,,,Hallandale,FL        ,USA,201,72
2563,3728305.0,134,Johnathan Abram,Johnathan,Abram,S,DB,D,Mississippi State,2019,,,,,,Columbia,MS        ,USA,205,71
2567,3121413.0,176,Johnnie Dixon,Johnnie,Dixon,WR,WR,O,Ohio State,2019,,,,,,West Palm Beach,FL        ,USA,201,70
