espn_id,full_name,first_name,last_name,position,position_group,section,college,home_city,home_state,home_country
4241724,DK Billingsley,DK,Billingsley,RB,RB,O,Troy,Scottsboro,AL        ,USA
4241723,Damion Willis,Damion,Willis,WR,WR,O,Troy,Meridian,MS        ,USA
4241722,Will Lovett,Will,Lovett,QB,QB,O,Georgia Southern,Kennesaw,GA        ,USA
4241721,Terence Dunlap,Terence,Dunlap,CB,DB,D,Troy,Maplesville,AL        ,USA
4241720,Marcus Jones,Marcus,Jones,CB,DB,D,Troy,Enterprise,AL        ,USA
4241709,Gjemar Daniels,Gjemar,Daniels,NT,,,Texas State,Kennedale,TX        ,USA
4241707,Nick Wilkins,Nick,Wilkins,DL,DL,D,Texas State,Rosharon,TX        ,USA
4241705,Sami Awad,Sami,Awad,NT,,,Texas State,Mckinney,TX        ,USA
4241704,Caeveon Patton,Caeveon,Patton,DT,DL,D,Texas State,Cuero,TX        ,USA
4241702,Elijah Rogers,Elijah,Rogers,TE,TE,O,Texas State,Metairie,LA        ,USA
4241701,T.J. Bedford,T.J.,Bedford,WR,WR,O,Texas State,Covington,LA        ,USA
4241700,Chandler Speights,Chandler,Speights,WR,WR,O,Texas State,Richmond,TX        ,USA
4241699,Dennis Johnson Jr.,Dennis,Johnson Jr.,DB,DB,D,Texas State,SAN ANTONIO,TX        ,USA
4241698,Nic Foster,Nic,Foster,OL,OL,O,Texas State,Arlington,TX        ,USA
4241697,Tanner King,Tanner,King,OL,OL,O,Texas State,Houston,TX        ,USA
4241696,Tate Heitmeier,Tate,Heitmeier,OL,OL,O,Texas State,Mansfield,TX        ,USA
4241694,Caleb Carlile,Caleb,Carlile,OL,OL,O,Texas State,Waxahachie,TX        ,USA
4241692,Hunter Thompson,Hunter,Thompson,LB,LB,D,Texas State,New Braunfels,TX        ,USA
4241690,Reece Jordan,Reece,Jordan,OL,OL,O,Texas State,Decatur,TX        ,USA
4241689,Hunter Hebert,Hunter,Hebert,TE,TE,O,Texas State,Houston,TX        ,USA
4241688,Tommy Simmons,Tommy,Simmons,LS,LS,ST,Texas State,Jacksonville,TX        ,USA
4241686,Jakharious Smith,Jakharious,Smith,DE,DL,D,Texas State,Grand Prairie,TX        ,USA
4241685,John Brannon,John,Brannon,LB,LB,D,Texas State,Mckinney,TX        ,USA
4241684,LeDarrius Harris,LeDarrius,Harris,RB,RB,O,Texas State,Colorado Springs,CO        ,USA
4241683,Malik Alley,Malik,Alley,LB,LB,D,Texas State,Tyler,TX        ,USA
4241680,Tyler Robinson,Tyler,Robinson,CB,DB,D,Texas State,Grand Prairie,TX        ,USA
4241677,Kieston Roach,Kieston,Roach,CB,DB,D,Texas State,Houston,TX        ,USA
4241676,Kordell Rodgers,Kordell,Rodgers,CB,DB,D,Texas State,Lufkin,TX        ,USA
4241675,Preston Dimery,Preston,Dimery,S,DB,D,Texas State,Kerrville,TX        ,USA
4241674,Josh Newman,Josh,Newman,S,DB,D,Texas State,Cedar Hill,TX        ,USA
4241671,Jeremiah Haydel,Jeremiah,Haydel,WR,WR,O,Texas State,Houston,TX        ,USA
4241669,Willie Jones III,Willie,Jones III,QB,QB,O,Texas State,Beaumont,TX        ,USA
4241668,London Harris,London,Harris,LB,LB,D,Texas State,Rosharon,TX        ,USA
4241667,Jaylen Gipson,Jaylen,Gipson,QB,QB,O,Texas State,Mexia,TX        ,USA
4241666,Jaylin Nelson,Jaylin,Nelson,RB,RB,O,Texas State,Duncanville,TX        ,USA
4241665,Caleb Twyford,Caleb,Twyford,WR,WR,O,Texas State,Farmersville,TX        ,USA
4241656,David Webb,David,Webb,WR,WR,O,South Alabama,Gadsden,AL        ,USA
4241648,Matthew Young,Matthew,Young,LB,LB,D,New Mexico State,Las Cruces,NM        ,USA
4241647,Xander Yarberough,Xander,Yarberough,DL,DL,D,New Mexico State,San Antonio,TX        ,USA
4241642,Jeremy Hodge,Jeremy,Hodge,QB,QB,O,New Mexico State,Plano,TX        ,USA
4241641,Jalen Guerrero,Jalen,Guerrero,OL,OL,O,New Mexico State,Las Cruces,NM        ,USA
4241639,Marcus Buckley,Marcus,Buckley,DL,DL,D,New Mexico State,Weatherford,TX        ,USA
4241638,Trevor Brohard,Trevor,Brohard,LB,LB,D,New Mexico State,Los Lunas,NM        ,USA
4241637,David Ash,David,Ash,OL,OL,O,New Mexico State,El Paso,TX        ,USA
4241635,Josh Adkins,Josh,Adkins,QB,QB,O,New Mexico State,Spring Branch,TX        ,USA
