Geographic Location,county,state,poverty_pct,med_income
"Petal, MS", Forrest County, MS,24.0,"$69,212"
"Mobile, AL", Dearborn County, AL,9.4,"$69,212"
"Gulfport, MS", Harrison County, MS,16.7,"$69,212"
"Pell City, AL", St. Clair County, AL,18.2,"$69,212"
"Madison, MS",,,,"$69,212"
"Wiggins, MS", Stone County, MS,13.4,"$69,212"
"Griffin, GA", Summit County, GA,6.2,"$69,212"
"Caledonia, MS", Lowndes County, MS,23.1,"$69,212"
"Marshall, WI", Dane County, WI,10.8,"$69,212"
"Smyrna, TN", Rutherford County, TN,10.4,"$69,212"
"Los Angeles, CA", Los Angeles County, CA,14.2,"$69,212"
"Chicago, IL", Cook County, IL,9.6,"$69,212"
"Oakland, CA", Alameda County, CA,9.0,"$69,212"
"Tacoma, WA", Pierce County, WA,8.5,"$69,212"
"Berkeley, CA", Alameda County, CA,9.0,"$69,212"
"Corvallis, OR", Benton County, OR,9.8,"$69,212"
"Inglewood, CA", Los Angeles County, CA,14.2,"$69,212"
"Richmond, CA", Contra Costa County, CA,7.8,"$69,212"
"Karlstad, ", Kittson County, ,10.0,"$69,212"
"East Palo Alto, CA", San Mateo County, CA,6.8,"$69,212"
"Merced, CA",Merced County, CA,21.2,"$69,212"
"Portola, CA", Plumas County, CA,12.5,"$69,212"
"Mission Viejo, CA", Orange County, CA,9.4,"$69,212"
"Milpitas, CA", Santa Clara County, CA,7.3,"$69,212"
"Cypress, TX", Harris County, TX,16.5,"$69,212"
"Marble Falls, TX", Burnet County, TX,11.0,"$69,212"
"Cleveland, OH", Cuyahoga County, OH,17.9,"$69,212"
"Philadelphia, PA", Philadelphia County, PA,24.3,"$69,212"
"Kenton, OH", Hardin County, OH,12.4,"$69,212"
"Turlock, CA", Stanislaus County, CA,15.6,"$69,212"
"Rio De Janeiro, ",,,,"$69,212"
"Beaumont, TX", Jefferson County, TX,8.1,"$69,212"
"Gonzales, LA",Gonzales County, LA,16.9,"$69,212"
"Austin, TX", Travis County, TX,12.0,"$69,212"
"Lake Charles, LA", Calcasieu Parish, LA,14.9,"$69,212"
"Neptune, NJ", Monmouth County, NJ,6.7,"$69,212"
"Valley City, OH", Medina County, OH,12.3,"$69,212"
"Channelview, TX", Harris County, TX,16.5,"$69,212"
"Columbus, OH", Franklin County, OH,13.4,"$69,212"
"San Jose, CA", Santa Clara County, CA,7.3,"$69,212"
"Mattawan, MI", Van Buren County, MI,16.3,"$69,212"
"Clarence, NY", Erie County, NY,15.3,"$69,212"
"Laurel, MD", Prince George's County, MD,8.3,"$69,212"
"La Crescenta, CA", Los Angeles County, CA,14.2,"$69,212"
"Rohnert Park, CA", Sonoma County, CA,9.9,"$69,212"
"Westlake Village, CA", Los Angeles County, CA,14.2,"$69,212"
"Burbank, CA", Los Angeles County, CA,14.2,"$69,212"
"Auburn, CA", Placer County, CA,7.1,"$69,212"
"Kaneohe, HI", Honolulu County, HI,7.7,"$69,212"
"Honolulu, HI", Honolulu County, HI,7.7,"$69,212"
"Menifee, CA", Riverside County, CA,12.7,"$69,212"
"Meridian, MS", Ada County, MS,9.7,"$69,212"
"Albany, GA", Franklin County, GA,13.4,"$69,212"
"Manahawkin, NJ", Ocean County, NJ,9.7,"$69,212"
"Swisher, IA",,,,"$69,212"
"Needville, TX", Fort Bend County, TX,7.9,"$69,212"
"San Francisco, CA", San Francisco City and County, CA,,"$69,212"
"Chatsworth, CA", Los Angeles County, CA,14.2,"$69,212"
"Rancho Cucamonga, CA", San Bernardino County, CA,14.9,"$69,212"
"Pawtucket, RI",,,,"$69,212"
"Katy, TX", Fort Bend County, TX,7.9,"$69,212"
"Charlotte, NC", Mecklenburg County, NC,18.7,"$69,212"
"Buffalo, TX", Leon County, TX,15.6,"$69,212"
"North Miami Beach, FL", Miami-Dade County, FL,16.0,"$69,212"
"Gastonia, NC", Gaston County, NC,14.2,"$69,212"
"Rancho Santa Margarita, CA", Orange County, CA,9.4,"$69,212"
"Loma Rica, CA", Yuba County, CA,17.2,"$69,212"
"Miami, FL", Miami-Dade County, FL,16.0,"$69,212"
"Seattle, WA", King County, WA,9.2,"$69,212"
"Whitehouse, TX", Smith County, TX,15.0,"$69,212"
"Sacramento, CA", Sacramento County, CA,14.3,"$69,212"
"Greenville, AL", Williamson County, AL,6.4,"$69,212"
"Lilburn, GA", Gwinnett County, GA,9.2,"$69,212"
"Clinton, MS", Worcester County, MS,9.0,"$69,212"
"Saraland, AL", Mobile County, AL,20.8,"$69,212"
"Hazlehurst, MS", Copiah County, MS,26.5,"$69,212"
"Starkville, MS", Oktibbeha County, MS,27.3,"$69,212"
"Florence, AL", Bexar County, AL,17.2,"$69,212"
"Frederick, MD", Frederick County, MD,7.0,"$69,212"
"Jasper, AL", Walker County, AL,26.1,"$69,212"
"Saint Louis, MO",,,,"$69,212"
"Lakewood, CA", Los Angeles County, CA,14.2,"$69,212"
"Antioch, CA", Contra Costa County, CA,7.8,"$69,212"
"Joshua, TX", Johnson County, TX,10.3,"$69,212"
"Corona, CA", Riverside County, CA,12.7,"$69,212"
"Pacoima, CA", Los Angeles County, CA,14.2,"$69,212"
"West Valley, UT", Armstrong County, UT,10.7,"$69,212"
"Orinda, CA", Contra Costa County, CA,7.8,"$69,212"
