year,player,pos,college,weight,height_inches,forty,vertical,bench,broad,threecone,shuttle
2019,Drew Lock,QB,Missouri,228,76,4.69,31,NA,112,7.03,4.12
2019,Drew Sample,TE,Washington,255,77,4.71,33.5,NA,115,7.15,4.31
2019,Dru Samia,OT,Oklahoma,305,77,5.29,27.5,28,101,7.89,4.7
2019,Drue Tranquill,OLB,Notre Dame,234,74,4.57,37.5,31,122,6.94,4.14
2019,Dwayne Haskins,QB,Ohio St.,231,75,5.04,28.5,NA,NA,NA,NA
2019,Ed Oliver,DL,Houston,287,74,NA,36,32,120,NA,NA
2019,Elgton Jenkins,OT,Mississippi St.,310,76,NA,28,29,109,7.77,4.62
2019,Elijah Holyfield,RB,Georgia,217,70,4.78,29.5,26,118,NA,NA
2019,Emanuel Hall,WR,Missouri,201,74,4.39,43.5,15,141,NA,NA
2019,Emeke Egbule,OLB,Houston,245,74,4.65,33,20,119,7.38,4.38
2019,Emmanuel Butler,WR,Northern Arizona,217,75,NA,36,11,115,NA,4.22
2019,Evan Worthington,S,Colorado,212,74,4.63,33.5,17,121,7.07,4.37
2019,Felton Davis,WR,Michigan St.,211,75,NA,NA,21,NA,NA,NA
2019,Foster Moreau,TE,LSU,253,76,4.66,36.5,22,121,7.16,4.11
2019,Gardner Minshew,QB,Washington St.,225,73,4.97,33.5,NA,116,7.14,4.45
2019,Garrett Bradbury,OT,North Carolina St.,306,75,4.92,31,34,104,7.41,4.53
2019,Gary Jennings,WR,West Virginia,214,73,4.42,37,20,127,7.32,4.15
2019,Gary Johnson,OLB,Texas,226,72,4.43,33.5,16,121,7.15,4.57
2019,Gerald Willis,DL,Miami,302,74,NA,NA,NA,NA,NA,NA
2019,Germaine Pratt,OLB,North Carolina St.,240,74,4.57,32.5,24,116,NA,NA
2019,Gerri Green,DE,Mississippi St.,252,76,4.63,35,24,114,7.27,4.42
2019,Greedy Williams,CB,LSU,185,74,4.37,NA,NA,NA,NA,NA
2019,Greg Dortch,WR,Wake Forest,173,67,NA,NA,NA,NA,NA,NA
2019,Greg Gaines,DL,Washington,312,73,5.16,31,30,109,NA,NA
2019,Hakeem Butler,WR,Iowa St.,227,77,4.48,36,18,128,NA,NA
2019,Hamp Cheevers,CB,Boston College,169,69,4.52,39,8,122,6.96,4.25
2019,Hjalte Froholdt,OT,Arkansas,306,77,5.2,27.5,31,105,7.51,4.54
2019,Hunter Renfrow,WR,Clemson,184,70,4.59,35,7,116,6.8,4.19
2019,Iman Lewis-Marshall,CB,USC,207,73,4.53,NA,16,NA,NA,NA
2019,Irv Smith,TE,Alabama,242,74,4.63,32.5,19,110,7.32,4.33
2019,Isaac Nauta,TE,Georgia,244,75,4.91,28,19,NA,7.45,4.43
2019,Isaiah Buggs,DL,Alabama,306,75,5.15,24.5,20,96,8.01,4.83
2019,Isaiah Johnson,CB,Houston,208,74,4.4,36.5,NA,133,6.81,4.06
2019,Isaiah Prince,OT,Ohio St.,305,78,5.09,27,23,115,7.9,5.02
2019,J.J. Arcega-Whiteside,WR,Stanford,225,74,NA,NA,NA,NA,NA,NA
2019,Jace Sternberger,TE,Texas A&M,251,76,4.75,31.5,17,113,7.19,4.31
2019,Jachai Polite,DE,Florida,258,75,4.84,32,NA,NA,NA,NA
2019,Jackson Barton,OT,Utah,310,79,5.18,27,25,109,7.85,4.66
2019,Jahlani Tavai,OLB,Hawaii,250,74,NA,NA,NA,NA,NA,NA
2019,Jake Browning,QB,Washington,211,74,4.74,29,NA,112,7.19,4.44
2019,Jakobi Meyers,WR,North Carolina St.,203,74,4.63,37,13,118,7.07,4.23
2019,Jalen Hurd,WR,Baylor,226,77,NA,NA,23,NA,NA,NA
2019,Jalen Jelks,DE,Oregon,256,77,4.92,32.5,19,113,7.22,4.59
2019,Jalin Moore,RB,Appalachian St.,212,70,NA,NA,27,NA,NA,NA
2019,Jamal Custis,WR,Syracuse,214,76,4.5,34.5,NA,124,NA,NA
2019,Jamal Davis,DE,Akron,243,75,4.6,39,19,122,7,4.44
2019,Jamal Peters,CB,Mississippi St.,218,74,4.63,NA,NA,NA,NA,NA
2019,Jamarius Way,WR,South Alabama,215,75,4.63,32.5,16,119,NA,4.66
2019,Jamel Dean,CB,Auburn,206,73,4.3,41,16,130,7.02,4.19
2019,James Williams,RB,Washington St.,197,69,4.58,36.5,NA,118,7.01,4.25
2019,Jaquan Johnson,S,Miami,191,70,4.69,33,18,121,NA,NA
2019,Jarrett Stidham,QB,Auburn,218,74,4.81,31,NA,110,7.28,4.33
2019,Jawaan Taylor,OT,Florida,312,77,NA,NA,24,NA,NA,NA
2019,Jaylen Smith,WR,Louisville,219,74,4.47,34.5,14,122,7.55,4.48
2019,Jazz Ferguson,WR,Northwestern St. (LA),227,77,4.45,37,8,123,7.25,4.59
2019,Jeff Allison,OLB,Fresno St.,228,71,4.82,31,12,115,7.2,4.45
2019,Jerry Tillery,DL,Notre Dame,295,78,4.93,32,23,115,7.45,4.33
2019,Joe Giles-Harris,OLB,Duke,234,74,4.75,29.5,17,111,NA,NA
2019,Joe Jackson,DL,Miami,275,76,NA,27,22,109,NA,NA
2019,Joejuan Williams,CB,Vanderbilt,211,76,4.64,NA,17,NA,NA,NA
2019,John Battle,S,LSU,201,72,4.67,29.5,NA,120,7.09,4.33
2019,Johnathan Abram,S,Mississippi St.,205,71,4.45,NA,NA,116,NA,NA
2019,Johnnie Dixon,WR,Ohio St.,201,70,4.41,37.5,16,120,NA,4.43
2019,Jonathan Crawford,S,Indiana,205,73,NA,31.5,16,115,NA,NA
2019,Jonathan Ledbetter,DL,Georgia,280,76,5.14,26.5,22,108,NA,NA
2019,Jordan Brailford,DE,Oklahoma St.,252,75,4.65,37.5,22,126,NA,NA
2019,Jordan Brown,CB,South Dakota St.,201,72,4.51,39.5,13,128,NA,NA
2019,Jordan Jones,OLB,Kentucky,234,74,4.62,32.5,23,123,NA,4.37
2019,Jordan Miller,CB,Washington,186,73,4.49,37,6,125,NA,NA
2019,Jordan Scarlett,RB,Florida,208,71,4.47,30,21,116,7.37,4.63
2019,Jordan Ta'amu,QB,Mississippi,221,75,4.77,27.5,NA,109,7.06,4.36
2019,Josh Allen,DE,Kentucky,262,77,4.63,NA,28,118,7.15,4.23
2019,Josh Jacobs,RB,Alabama,220,70,NA,NA,NA,NA,NA,NA
2019,Josh Oliver,TE,San Jose St.,249,77,4.63,34,22,117,7.21,4.47
2019,Jovon Durante,WR,Florida Atlantic,160,71,4.55,31.5,NA,120,7,4.31
2019,Juan Thornhill,S,Virginia,205,72,4.42,44,21,141,NA,NA
2019,Julian Love,CB,Notre Dame,195,71,4.54,36,14,121,6.72,4.1
2019,Justice Hill,RB,Oklahoma St.,198,70,4.4,40,21,130,NA,NA
2019,Justin Hollins,DE,Oregon,248,77,4.5,36.5,25,119,7.06,4.4
2019,Justin Layne,CB,Michigan St.,192,74,4.5,37.5,NA,134,6.9,4.09
2019,Kaden Smith,TE,Stanford,255,77,4.92,32,15,108,7.08,4.47
2019,Kahale Warring,TE,San Diego St.,252,77,4.67,36.5,19,122,7.21,4.25
2019,Kaleb McGary,OT,Washington,317,79,5.05,33.5,23,111,7.66,4.58
2019,Karan Higdon,RB,Michigan,206,69,4.49,34,21,123,NA,NA
2019,Keelan Doss,WR,UC Davis,211,74,NA,NA,8,NA,NA,NA
2019,Keenen Brown,TE,Texas St.,250,74,4.75,33,17,117,7.27,4.51
2019,Keesean Johnson,WR,Fresno St.,201,73,4.6,30,14,117,7.28,4.23
2019,Kelvin Harmon,WR,North Carolina St.,221,74,4.6,32.5,18,117,7.15,4.32
