College,Geographic Location,county,state,poverty_pct,med_income
San Jose St.,"San Jose, CA", Santa Clara County, CA,7.3,"$48,010"
San Jose State,"San Jose, CA", Santa Clara County, CA,7.3,"$48,010"
Savannah State,"Savannah, GA", Chatham County, GA,9.3,"$48,010"
Shepherd,"Shepherdstown, WV", Jefferson County, WV,8.1,"$48,010"
SMU,"Dallas, TX", Dallas County, TX,14.2,"$48,010"
South Alabama,"Mobile, AL", Dearborn County, AL,9.4,"$48,010"
South Carolina,"Columbia, SC", Richland County, SC,14.3,"$48,010"
South Carolina State,"Orangeburg, SC", Orangeburg County, SC,25.9,"$48,010"
South Dakota St.,"Brookings, SD",Brookings County, SD,11.8,"$48,010"
South Florida,"Tampa, FL", Hillsborough County, FL,7.4,"$48,010"
Southeastern Louisiana,"Hammond, LA", Lake County, LA,36.5,"$48,010"
Southern,"Baton Rouge, LA", East Baton Rouge Parish, LA,16.7,"$48,010"
Southern California,"Los Angeles, CA", Los Angeles County, CA,14.2,"$48,010"
Southern Illinois,"Carbondale, IL", Jackson County, IL,12.0,"$48,010"
Southern Methodist,"Dallas, TX", Dallas County, TX,14.2,"$48,010"
Southern Miss,"Hattiesburg, MS", Forrest County, MS,24.0,"$48,010"
Southern Oregon,"Ashland, OR", Jackson County, OR,12.0,"$48,010"
Southern Utah,"Cedar City, UT", Iron County, UT,13.2,"$48,010"
Stanford,"Stanford, CA", Santa Clara County, CA,7.3,"$48,010"
Stillman,"Tuscaloosa, AL", Jefferson County, AL,8.1,"$48,010"
Syracuse,"Syracuse, NY", Onondaga County, NY,13.7,"$48,010"
TCU,"Fort Worth, TX", Tarrant County, TX,12.1,"$48,010"
Temple,"Philadelphia, PA", Philadelphia County, PA,24.3,"$48,010"
Tennessee,"Knoxville, TN", Knox County, TN,20.4,"$48,010"
Tennessee State,"Nashville, TN", Davidson County, TN,15.4,"$48,010"
Tennessee Tech,"Cookeville, TN", Putnam County, TN,10.0,"$48,010"
Tennessee-Martin,"Martin, TN", Weakley County, TN,19.7,"$48,010"
Texas,"Austin, TX", Travis County, TX,12.0,"$48,010"
Texas A&M,"College Station, TX", Brazos County, TX,23.2,"$48,010"
Texas A&M-Commerce,"Commerce, TX", Hunt County, TX,13.6,"$48,010"
Texas Christian,"Fort Worth, TX", Tarrant County, TX,12.1,"$48,010"
Texas College,"Tyler, TX", Smith County, TX,15.0,"$48,010"
Texas St.,"San Marcos, TX", Hays County, TX,13.2,"$48,010"
