pick,team,year,player,pos,college
NA,NA,2019,John Battle,S,LSU
NA,NA,2019,Johnathan Abram,S,Mississippi St.
NA,NA,2019,Johnnie Dixon,WR,Ohio St.
NA,NA,2019,Jonathan Crawford,S,Indiana
NA,NA,2019,Jonathan Ledbetter,DL,Georgia
NA,NA,2019,Jordan Brailford,DE,Oklahoma St.
NA,NA,2019,Jordan Brown,CB,South Dakota St.
NA,NA,2019,Jordan Jones,OLB,Kentucky
NA,NA,2019,Jordan Miller,CB,Washington
NA,NA,2019,Jordan Scarlett,RB,Florida
NA,NA,2019,Jordan Ta'amu,QB,Mississippi
NA,NA,2019,Josh Allen,DE,Kentucky
NA,NA,2019,Josh Jacobs,RB,Alabama
NA,NA,2019,Josh Oliver,TE,San Jose St.
NA,NA,2019,Jovon Durante,WR,Florida Atlantic
NA,NA,2019,Juan Thornhill,S,Virginia
NA,NA,2019,Julian Love,CB,Notre Dame
NA,NA,2019,Justice Hill,RB,Oklahoma St.
NA,NA,2019,Justin Hollins,DE,Oregon
NA,NA,2019,Justin Layne,CB,Michigan St.
NA,NA,2019,Kaden Smith,TE,Stanford
NA,NA,2019,Kahale Warring,TE,San Diego St.
NA,NA,2019,Kaleb McGary,OT,Washington
NA,NA,2019,Karan Higdon,RB,Michigan
NA,NA,2019,Keelan Doss,WR,UC Davis
NA,NA,2019,Keenen Brown,TE,Texas St.
NA,NA,2019,Keesean Johnson,WR,Fresno St.
NA,NA,2019,Kelvin Harmon,WR,North Carolina St.
NA,NA,2019,Ken Webster,CB,Mississippi
NA,NA,2019,Kendall Blanton,TE,Missouri
NA,NA,2019,Kendall Joseph,OLB,Clemson
NA,NA,2019,Kendall Sheffield,CB,Ohio St.
NA,NA,2019,Kevin Givens,DL,Penn St.
NA,NA,2019,Khari Willis,S,Michigan St.
NA,NA,2019,Kingsley Keke,DL,Texas A&M
NA,NA,2019,Kris Boyd,CB,Texas
NA,NA,2019,Kyle Shurmur,QB,Vanderbilt
NA,NA,2019,Kyler Murray,QB,Oklahoma
NA,NA,2019,L.J. Collier,DL,TCU
NA,NA,2019,Lamont Gaillard,OT,Georgia
NA,NA,2019,Lil'Jordan Humphrey,WR,Texas
NA,NA,2019,Lj Scott,RB,Michigan St.
NA,NA,2019,Lonnie Johnson,CB,Kentucky
NA,NA,2019,Lukas Denis,S,Boston College
NA,NA,2019,Mack Wilson,OLB,Alabama
NA,NA,2019,Malik Carney,DE,North Carolina
NA,NA,2019,Malik Gant,S,Marshall
NA,NA,2019,Mark Fields,CB,Clemson
NA,NA,2019,Mark McLaurin,S,Mississippi St.
NA,NA,2019,Marquise Blair,S,Utah
NA,NA,2019,Marquise Brown,WR,Oklahoma
NA,NA,2019,Martez Ivey,OT,Florida
NA,NA,2019,Marvell Tell,S,USC
NA,NA,2019,Max Scharping,OT,Northern Illinois
NA,NA,2019,Maxx Crosby,DL,Eastern Michigan
NA,NA,2019,Mecole Hardman,WR,Georgia
NA,NA,2019,Michael Deiter,OT,Wisconsin
NA,NA,2019,Mike Bell,S,Fresno St.
NA,NA,2019,Mike Edwards,S,Kentucky
NA,NA,2019,Mike Jackson,CB,Miami
NA,NA,2019,Mike Weber,RB,Ohio St.
NA,NA,2019,Miles Boykin,WR,Notre Dame
NA,NA,2019,Miles Sanders,RB,Penn St.
NA,NA,2019,Mitch Hyatt,OT,Clemson
NA,NA,2019,Montez Sweat,DE,Mississippi St.
NA,NA,2019,Montre Hartage,CB,Northwestern
NA,NA,2019,Myles Gaskin,RB,Washington
NA,NA,2019,Nate Davis,OT,Charlotte
NA,NA,2019,Nate Hall,OLB,Northwestern
NA,NA,2019,Nate Herbig,OT,Stanford
NA,NA,2019,Nick Bosa,DL,Ohio St.
NA,NA,2019,Nick Brossette,RB,LSU
NA,NA,2019,Nick Fitzgerald,QB,Mississippi St.
NA,NA,2019,Nkeal Harry,WR,Arizona State
NA,NA,2019,Noah Fant,TE,Iowa
NA,NA,2019,Nyqwan Murray,WR,Florida St.
NA,NA,2019,Oshane Ximines,DE,Old Dominion
NA,NA,2019,Otaro Alaka,OLB,Texas A&M
NA,NA,2019,Parris Campbell,WR,Ohio St.
NA,NA,2019,Phil Haynes,OT,Wake Forest
NA,NA,2019,Porter Gustin,DE,USC
NA,NA,2019,Qadree Ollison,RB,Pittsburgh
NA,NA,2019,Quinnen Williams,DL,Alabama
NA,NA,2019,Rashad Fenton,CB,South Carolina
NA,NA,2019,Rashan Gary,DL,Michigan
NA,NA,2019,Renell Wren,DL,Arizona State
NA,NA,2019,Riley Ridley,WR,Georgia
NA,NA,2019,Rock Ya-Sin,CB,Temple
NA,NA,2019,Rodney Anderson,RB,Oklahoma
NA,NA,2019,Ross Pierschbacher,OT,Alabama
NA,NA,2019,Ryan Bates,OT,Penn St.
NA,NA,2019,Ryan Connelly,OLB,Wisconsin
NA,NA,2019,Ryan Davis,WR,Auburn
NA,NA,2019,Ryan Finley,QB,North Carolina St.
NA,NA,2019,Ryan Pope,OT,San Diego St.
NA,NA,2019,Ryan Pulley,CB,Arkansas
NA,NA,2019,Ryquell Armstead,RB,Temple
NA,NA,2019,Saivion Smith,CB,Alabama
NA,NA,2019,Saquan Hampton,S,Rutgers
NA,NA,2019,Sean Bunting,CB,Central Michigan
NA,NA,2019,Shareef Miller,DE,Penn St.
NA,NA,2019,Sheldrick Redwine,S,Miami
NA,NA,2019,Sione Takitaki,OLB,BYU
NA,NA,2019,Stanley Morgan,WR,Nebraska
NA,NA,2019,Sutton Smith,DE,Northern Illinois
NA,NA,2019,T.J. Edwards,OLB,Wisconsin
NA,NA,2019,T.J. Hockenson,TE,Iowa
NA,NA,2019,Taylor Rapp,S,Washington
NA,NA,2019,Te'von Coney,OLB,Notre Dame
NA,NA,2019,Terez Hall,OLB,Missouri
NA,NA,2019,Terrill Hanks,OLB,New Mexico St.
NA,NA,2019,Terry Beckner,DL,Missouri
NA,NA,2019,Terry Godwin,WR,Georgia
NA,NA,2019,Terry McLaurin,WR,Ohio St.
NA,NA,2019,Tommy Sweeney,TE,Boston College
NA,NA,2019,Tony Pollard,RB,Memphis
NA,NA,2019,Trace McSorley,QB,Penn St.
NA,NA,2019,Travis Fulgham,WR,Old Dominion
NA,NA,2019,Travis Homer,RB,Miami
NA,NA,2019,Trayveon Williams,RB,Texas A&M
NA,NA,2019,Trayvon Mullen,CB,Clemson
NA,NA,2019,Tre Lamar,OLB,Clemson
NA,NA,2019,Trevon Tate,OT,Memphis
NA,NA,2019,Trevon Wesco,TE,West Virginia
NA,NA,2019,Trysten Hill,DL,Central Florida
NA,NA,2019,Ty Summers,OLB,TCU
NA,NA,2019,Tyler Jones,OT,North Carolina St.
NA,NA,2019,Tyler Roemer,OT,San Diego St.
NA,NA,2019,Tyre Brady,WR,Marshall
NA,NA,2019,Tyree Jackson,QB,Buffalo
NA,NA,2019,Tyrel Dodson,OLB,Texas A&M
NA,NA,2019,Ugo Amadi,S,Oregon
NA,NA,2019,Vosean Joseph,OLB,Florida
NA,NA,2019,Will Grier,QB,West Virginia
NA,NA,2019,Will Harris,S,Boston College
NA,NA,2019,William Sweet,OT,North Carolina
NA,NA,2019,Wyatt Ray,DE,Boston College
NA,NA,2019,Xavier Crawford,CB,Central Michigan
NA,NA,2019,Yodny Cajuste,OT,West Virginia
NA,NA,2019,Yosh Nijman,OT,Virginia Tech
NA,NA,2019,Zach Allen,DL,Boston College
NA,NA,2019,Zach Gentry,TE,Michigan
NA,NA,2019,Zack Bailey,OT,South Carolina
NA,NA,2019,Zedrick Woods,S,Mississippi
218,MIN,2018,Ade Aruna,DE,Tulane
300,NA,2018,Akrum Wadley,RB,Iowa
300,NA,2018,Allen Lazard,WR,Iowa St.
300,NA,2018,Andre Chachere,CB,San Jose St.
234,CAR,2018,Andre Smith,ILB,North Carolina
158,CIN,2018,Andrew Brown,DE,Virginia
118,BAL,2018,Anthony Averett,CB,Alabama
51,CHI,2018,Anthony Miller,WR,Memphis
300,NA,2018,Anthony Winbush,DE,Ball St.
105,CLE,2018,Antonio Callaway,WR,Florida
87,OAK,2018,Arden Key,DE,LSU
124,KAN,2018,Armani Watts,S,Texas A&M
253,CIN,2018,Auden Tate,WR,Florida St.
300,NA,2018,Austin Allen,QB,Arkansas
33,CLE,2018,Austin Corbett,OG,Nevada
125,PHI,2018,Avonte Maddox,CB,Pittsburgh
216,OAK,2018,Azeem Victor,ILB,Washington
69,NYG,2018,B.J. Hill,DT,North Carolina St.
1,CLE,2018,Baker Mayfield,QB,Oklahoma
21,CIN,2018,Billy Price,C,Ohio St.
236,DAL,2018,Bo Scarbrough,RB,Alabama
5,DEN,2018,Bradley Chubb,DE,North Carolina St.
300,NA,2018,Brandon Facyson,CB,Virginia Tech
210,NWE,2018,Braxton Berrios,WR,Miami
46,KAN,2018,Breeland Speaks,DT,Mississippi
111,LAR,2018,Brian Allen,C,Michigan St.
62,MIN,2018,Brian O'neill,OT,Pittsburgh
300,NA,2018,Byron Pringle,WR,Kansas St.
26,ATL,2018,Calvin Ridley,WR,Alabama
300,NA,2018,Cam Phillips,WR,Virginia Tech
63,TAM,2018,Carlton Davis,CB,Auburn
208,DAL,2018,Cedrick Wilson,WR,Boise St.
67,CLE,2018,Chad Thomas,DE,Miami
300,NA,2018,Chandon Sullivan,CB,Georgia State
300,NA,2018,Chase Litton,QB,Marshall
193,DAL,2018,Chris Covington,OLB,Indiana
300,NA,2018,Chris Jones,CB,Nebraska
300,NA,2018,Chris Lacy,WR,Oklahoma St.
300,NA,2018,Chris Warren,RB,Texas
300,NA,2018,Chris Worley,ILB,Ohio St.
47,ARI,2018,Christian Kirk,WR,Texas A&M
178,NWE,2018,Christian Sam,ILB,Arizona State
92,PIT,2018,Chukwuma Okorafor,OT,Western Michigan
213,MIN,2018,Colby Gossett,OG,Appalachian St.
138,GNB,2018,Cole Madison,OT,Washington St.
300,NA,2018,Coleman Shelton,C,Washington
50,DAL,2018,Connor Williams,OT,Texas
40,DEN,2018,Courtland Sutton,WR,SMU
61,JAX,2018,D.J. Chark,WR,LSU
24,CAR,2018,D.J. Moore,WR,Maryland
142,SFO,2018,D.J. Reed,CB,Kansas St.
113,DEN,2018,Daesean Hamilton,WR,Penn St.
137,DAL,2018,Dalton Schultz,TE,Stanford
300,NA,2018,Damon Webb,S,Ohio St.
152,TEN,2018,Dane Cruikshank,S,Arizona
219,NWE,2018,Danny Etling,QB,LSU
300,NA,2018,Danny Johnson,CB,Southern
44,SFO,2018,Dante Pettis,WR,Washington
300,NA,2018,Darius Jackson,DE,Jacksonville St.
170,CIN,2018,Darius Phillips,CB,Western Michigan
13,WAS,2018,Daron Payne,DT,Alabama
300,NA,2018,Darrel Williams,RB,LSU
114,DET,2018,Dashawn Hand,DE,Alabama
300,NA,2018,David Wells,TE,San Diego St.
300,NA,2018,Davin Bellamy,DE,Georgia
300,NA,2018,Davon Grayson,WR,East Carolina
90,ATL,2018,Deadrin Senat,DT,South Florida
300,NA,2018,Dee Delaney,CB,Miami
300,NA,2018,Demario Richard,RB,Arizona State
4,CLE,2018,Denzel Ward,CB,Ohio St.
185,IND,2018,Deon Cain,WR,Clemson
300,NA,2018,Deontay Burnett,WR,USC
75,KAN,2018,Derrick Nnadi,DT,Florida St.
59,WAS,2018,Derrius Guice,RB,LSU
17,LAC,2018,Derwin James,S,Florida St.
190,BAL,2018,Deshon Elliott,S,Texas
300,NA,2018,Dimitri Flowers,RB,Oklahoma
300,NA,2018,Dominick Sanders,S,Georgia
300,NA,2018,Donnie Ernsberger,RB,Western Michigan
55,CAR,2018,Donte Jackson,CB,LSU
100,KAN,2018,Dorian O'daniel,OLB,Clemson
56,NWE,2018,Duke Dawson,CB,Florida
177,HOU,2018,Duke Ejiofor,DE,Wake Forest
123,MIA,2018,Durham Smythe,TE,Notre Dame
191,LAC,2018,Dylan Cantrell,WR,Texas Tech
300,NA,2018,Eddy Wilson,DT,Purdue
207,GNB,2018,Equanimeous St. brown,WR,Notre Dame
20,DET,2018,Frank Ragnow,C,Arkansas
70,SFO,2018,Fred Warner,OLB,BYU
300,NA,2018,Garret Dooley,DE,Wisconsin
150,CLE,2018,Genard Avery,ILB,Memphis
74,WAS,2018,Geron Christian,OT,Louisville
300,NA,2018,Godwin Igwebuike,S,Northwestern
300,NA,2018,Grant Haley,CB,Penn St.
41,TEN,2018,Harold Landry,DE,Boston College
96,BUF,2018,Harrison Phillips,DT,Stanford
25,BAL,2018,Hayden Hurst,TE,South Carolina
300,NA,2018,Henre Toliver,CB,Arkansas
300,NA,2018,Hercules Mata'afa,DE,Washington St.
300,NA,2018,Holton Hill,CB,Texas
101,CAR,2018,Ian Thomas,TE,Indiana
99,DEN,2018,Isaac Yiadom,CB,Boston College
58,ATL,2018,Isaiah Oliver,CB,Colorado
23,NWE,2018,Isaiah Wynn,OG,Georgia
300,NA,2018,J.C. Jackson,CB,Maryland
300,NA,2018,J.T. Barrett,QB,Ohio St.
202,TAM,2018,Jack Cichy,ILB,Wisconsin
300,NA,2018,Jacob Pugh,OLB,Florida St.
18,GNB,2018,Jaire Alexander,CB,Louisville
132,BAL,2018,Jaleel Scott,WR,New Mexico St.
102,MIN,2018,Jalyn Holmes,DE,Ohio St.
168,SEA,2018,Jamarco Jones,OT,Ohio St.
300,NA,2018,Jamarcus King,CB,South Carolina
39,CHI,2018,James Daniels,C,Iowa
300,NA,2018,James Hearns,DE,Louisville
232,GNB,2018,James Looney,DE,California
60,PIT,2018,James Washington,WR,Oklahoma St.
300,NA,2018,Jarvion Franklin,RB,Western Michigan
300,NA,2018,Jason Cabinda,ILB,Penn St.
300,NA,2018,Javon Rolland-Jones,DE,Arkansas State
224,CHI,2018,Javon Wims,WR,Georgia
165,PIT,2018,Jaylen Samuels,TE,North Carolina St.
300,NA,2018,Jeff Holland,DE,Auburn
73,MIA,2018,Jerome Baker,OLB,Ohio St.
54,CIN,2018,Jessie Bates,S,Wake Forest
300,NA,2018,Jester Weah,WR,Pittsburgh
115,CHI,2018,Joel Iyiegbuniwe,OLB,Western Kentucky
300,NA,2018,John Atkins,DT,Georgia
176,LAR,2018,John Kelly,RB,Tennessee
300,NA,2018,Jojo Wicker,DE,Arizona State
98,HOU,2018,Jordan Akins,TE,Central Florida
162,BAL,2018,Jordan Lasley,WR,UCLA
300,NA,2018,Jordan Thomas,TE,Mississippi St.
300,NA,2018,Jordan Thomas,CB,Oklahoma
117,TAM,2018,Jordan Whitehead,S,Pittsburgh
169,IND,2018,Jordan Wilkins,RB,Mississippi
89,LAR,2018,Joseph Noteboom,OT,TCU
106,DEN,2018,Josey Jewell,ILB,Iowa
300,NA,2018,Josh Adams,RB,Notre Dame
7,BUF,2018,Josh Allen,QB,Wyoming
45,GNB,2018,Josh Jackson,CB,Iowa
10,ARI,2018,Josh Rosen,QB,UCLA
130,PHI,2018,Josh Sweat,DE,Florida St.
246,PIT,2018,Joshua Frazier,DT,Alabama
300,NA,2018,Joshua Kalu,S,Nebraska
300,NA,2018,Justin Crawford,RB,West Virginia
251,LAC,2018,Justin Jackson,RB,Northwestern
84,LAC,2018,Justin Jones,DT,North Carolina St.
68,HOU,2018,Justin Reid,S,Stanford
198,KAN,2018,Kahlil McKenzie,DT,Tennessee
131,MIA,2018,Kalen Ballage,RB,Arizona State
300,NA,2018,Kameron Kelly,S,San Diego St.
189,NOR,2018,Kamrin Moore,CB,Boston College
300,NA,2018,Kamryn Pettway,RB,Auburn
300,NA,2018,Karaun White,WR,West Virginia
217,DEN,2018,Keishawn Bierria,ILB,Washington
103,HOU,2018,Keke Coutee,WR,Texas Tech
52,IND,2018,Kemoko Turay,DE,Rutgers
242,CAR,2018,Kendrick Norton,DT,Miami
122,BAL,2018,Kenny Young,ILB,UCLA
128,SFO,2018,Kentavius Street,DE,North Carolina St.
43,DET,2018,Kerryon Johnson,RB,Auburn
15,OAK,2018,Kolton Miller,OT,UCLA
300,NA,2018,Korey Robertson,WR,Southern Miss
300,NA,2018,Kurt Benkert,QB,Virginia
300,NA,2018,Kyle Hicks,RB,TCU
181,CHI,2018,Kylie Fitts,DE,Utah
119,LAC,2018,Kyzir White,S,West Virginia
32,BAL,2018,Lamar Jackson,QB,Louisville
300,NA,2018,Lavon Coleman,RB,Washington
19,DAL,2018,Leighton Vander esch,ILB,Boise St.
230,JAX,2018,Leon Jacobs,DE,Wisconsin
300,NA,2018,Levi Wallace,CB,Alabama
249,CIN,2018,Logan Woodside,QB,Toledo
66,NYG,2018,Lorenzo Carter,DE,Georgia
300,NA,2018,Lowell Lotulelei,DT,Utah
199,TEN,2018,Luke Falk,QB,Washington St.
53,TAM,2018,M.J. Stewart,CB,North Carolina
78,CIN,2018,Malik Jefferson,OLB,Texas
228,OAK,2018,Marcell Ateman,WR,Oklahoma St.
184,SFO,2018,Marcell Harris,S,Florida
148,PIT,2018,Marcus Allen,S,Penn St.
300,NA,2018,Marcus Baugh,TE,Ohio St.
14,NOR,2018,Marcus Davenport,DE,Texas-San Antonio
86,BAL,2018,Mark Andrews,TE,Oklahoma
112,CIN,2018,Mark Walton,RB,Miami
174,GNB,2018,Marquez Valdes-Scantling,WR,South Florida
136,CAR,2018,Marquis Haynes,DE,Mississippi
80,HOU,2018,Martinas Rankin,OT,Mississippi St.
76,PIT,2018,Mason Rudolph,QB,Oklahoma St.
300,NA,2018,Matt Dickerson,DE,UCLA
300,NA,2018,Matthew Thomas,OLB,Florida St.
300,NA,2018,Max Redfield,S,Indiana (PA)
147,LAR,2018,Micah Kiser,ILB,Virginia
81,DAL,2018,Michael Gallup,WR,Colorado St.
42,MIA,2018,Mike Gesicki,TE,Penn St.
30,MIN,2018,Mike Hughes,CB,Central Florida
300,NA,2018,Mike McCray,ILB,Michigan
9,SFO,2018,Mike McGlinchey,OT,Notre Dame
11,MIA,2018,Minkah Fitzpatrick,CB,Alabama
