College,Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
Cheyney,"Philadelphia, PA",39.9527237,-75.1635262,45.38,0.19,27.4,29.3,36.4,46.0,55.7,65.6,70.2,69.1,61.5,50.3,41.7,32.2,40.4,44.5,53.2,64.8,74.9,84.2,88.0,86.3,78.7,67.2,56.1,44.6
Cincinnati,"Cincinnati, OH",39.1014537,-84.5124602,46.17,1.59,22.4,24.9,32.6,41.9,51.5,60.5,64.7,63.2,55.1,43.3,34.3,25.9,40.1,44.7,54.7,66.1,74.9,83.0,86.6,85.8,79.2,67.6,55.5,43.2
Clark Atlanta,"Atlanta, GA",33.7490987,-84.3901849,51.17,0.04,7.0,5.3,13.4,27.4,38.3,48.1,52.4,50.4,43.1,33.4,25.6,15.6,27.5,30.1,40.1,53.9,67.3,76.3,80.3,78.3,70.5,57.0,43.5,31.6
Clemson,"Clemson, SC",34.6850749,-82.8364111,48.36,0.11,30.0,32.6,39.2,47.1,56.2,64.5,68.1,67.7,61.0,48.9,39.6,32.2,51.7,55.7,63.3,71.8,79.5,86.8,90.0,88.7,82.6,72.7,63.7,53.7
Coastal Carolina,"Conway, SC",33.8360035,-79.0478143,54.18,0.14,34.4,37.1,43.5,51.1,60.1,68.5,72.1,71.2,65.2,54.3,44.8,37.1,57.4,60.9,68.0,75.6,82.8,88.2,91.2,89.5,84.7,76.8,69.2,60.1
Colorado,"Boulder, CO",40.0149856,-105.2705456,20.68,3.03,22.2,23.1,29.2,35.6,43.5,51.3,57.3,56.1,48.0,37.8,28.5,21.3,46.9,48.3,56.0,63.3,72.2,81.6,87.7,85.3,77.7,65.8,53.7,45.3
Colorado St.,"Fort Collins, CO",40.5508527,-105.0668085,14.97,5.58,17.9,20.9,28.2,35.5,44.5,52.6,58.5,56.7,47.5,36.4,25.9,17.7,44.2,46.5,54.7,62.2,71.1,80.4,86.6,84.0,75.9,63.9,51.4,42.8
Colorado State,"Fort Collins, CO",40.5508527,-105.0668085,14.97,5.58,17.9,20.9,28.2,35.5,44.5,52.6,58.5,56.7,47.5,36.4,25.9,17.7,44.2,46.5,54.7,62.2,71.1,80.4,86.6,84.0,75.9,63.9,51.4,42.8
Connecticut,"East Hartford, CT",41.7823216,-72.6120346,58.53,3.73,18.5,21.6,28.9,39.5,49.0,58.6,64.3,62.8,54.0,41.8,34.6,24.2,35.7,39.3,47.5,59.8,70.2,79.1,83.9,82.3,74.7,63.1,52.2,40.7
Delaware,"Newark, DE",39.6852191,-75.7508289,46.23,4.53,24.0,26.3,32.4,41.6,51.3,61.3,65.9,64.5,57.2,45.2,36.3,28.1,42.1,45.8,54.9,66.9,76.2,85.1,88.2,86.7,79.7,68.7,57.6,46.1
Duke,"Durham, NC",35.996653,-78.9018053,47.31,0.3,27.1,29.4,35.3,43.6,53.9,63.5,68.1,66.4,58.9,46.2,37.2,29.4,48.5,52.6,61.4,70.5,77.2,84.1,87.1,85.7,79.3,69.8,60.9,51.8
East Carolina,"Greenville, NC",35.612661,-77.3663538,49.72,0.6,32.1,34.3,40.8,49.1,57.6,66.7,70.7,69.2,62.9,50.6,41.5,34.0,52.1,56.3,64.1,73.2,80.2,87.2,89.9,88.3,82.9,73.8,65.0,55.3
Eastern Kentucky,"Richmond, KY",37.7478572,-84.2946539,45.14,1.25,21.9,24.9,32.9,42.1,51.7,60.4,64.3,61.8,54.5,43.8,34.9,25.7,40.9,45.3,55.2,65.6,74.1,82.0,85.8,85.1,79.0,67.8,55.9,44.3
Eastern Michigan,"Ypsilanti, MI",42.24253,-83.6171426940706,36.42,3.67,15.9,17.4,24.7,35.2,45.6,55.6,59.3,57.7,50.0,38.9,30.3,20.9,31.4,34.7,45.5,58.6,69.7,79.2,83.1,81.2,74.8,61.6,48.1,35.2
Eastern Washington,"Cheney, WA",47.4873895,-117.5757676,17.08,2.49,21.9,21.9,28.3,32.6,38.1,44.2,45.1,44.1,35.4,29.1,26.4,20.0,36.1,40.0,49.3,56.9,65.7,72.5,82.7,83.0,73.7,59.2,43.1,34.4
