pick,team,year,player,pos,college,weight,height_inches
NA,NA,2019,Jawaan Taylor,OT,Florida,312,77
NA,NA,2019,Jaylen Smith,WR,Louisville,219,74
NA,NA,2019,Jazz Ferguson,WR,Northwestern St. (LA),227,77
NA,NA,2019,Jeff Allison,OLB,Fresno St.,228,71
NA,NA,2019,Jerry Tillery,DL,Notre Dame,295,78
NA,NA,2019,Joe Giles-Harris,OLB,Duke,234,74
NA,NA,2019,Joe Jackson,DL,Miami,275,76
NA,NA,2019,Joejuan Williams,CB,Vanderbilt,211,76
NA,NA,2019,John Battle,S,LSU,201,72
NA,NA,2019,Johnathan Abram,S,Mississippi St.,205,71
NA,NA,2019,Johnnie Dixon,WR,Ohio St.,201,70
NA,NA,2019,Jonathan Crawford,S,Indiana,205,73
NA,NA,2019,Jonathan Ledbetter,DL,Georgia,280,76
NA,NA,2019,Jordan Brailford,DE,Oklahoma St.,252,75
NA,NA,2019,Jordan Brown,CB,South Dakota St.,201,72
NA,NA,2019,Jordan Jones,OLB,Kentucky,234,74
NA,NA,2019,Jordan Miller,CB,Washington,186,73
NA,NA,2019,Jordan Scarlett,RB,Florida,208,71
NA,NA,2019,Jordan Ta'amu,QB,Mississippi,221,75
NA,NA,2019,Josh Allen,DE,Kentucky,262,77
NA,NA,2019,Josh Jacobs,RB,Alabama,220,70
NA,NA,2019,Josh Oliver,TE,San Jose St.,249,77
NA,NA,2019,Jovon Durante,WR,Florida Atlantic,160,71
NA,NA,2019,Juan Thornhill,S,Virginia,205,72
NA,NA,2019,Julian Love,CB,Notre Dame,195,71
NA,NA,2019,Justice Hill,RB,Oklahoma St.,198,70
NA,NA,2019,Justin Hollins,DE,Oregon,248,77
NA,NA,2019,Justin Layne,CB,Michigan St.,192,74
NA,NA,2019,Kaden Smith,TE,Stanford,255,77
NA,NA,2019,Kahale Warring,TE,San Diego St.,252,77
NA,NA,2019,Kaleb McGary,OT,Washington,317,79
NA,NA,2019,Karan Higdon,RB,Michigan,206,69
NA,NA,2019,Keelan Doss,WR,UC Davis,211,74
NA,NA,2019,Keenen Brown,TE,Texas St.,250,74
NA,NA,2019,Keesean Johnson,WR,Fresno St.,201,73
NA,NA,2019,Kelvin Harmon,WR,North Carolina St.,221,74
