,Geographic Location,county,state,poverty_pct,med_income
1795,"Fairfield, CA", Solano County, CA,7.9,"$69,212"
1796,"Sherwood, OR", Washington County, OR,4.5,"$69,212"
1797,"Laguna Beach, CA", Orange County, CA,9.4,"$69,212"
1798,"Northfield, NH", Merrimack County, NH,7.0,"$69,212"
1799,"Adel, IA", Dallas County, IA,14.2,"$69,212"
1800,"Encinitas, CA", San Diego County, CA,11.5,"$69,212"
1801,"Northridge, CA", Los Angeles County, CA,14.2,"$69,212"
1802,"Shafter, CA", Kern County, CA,20.5,"$69,212"
1803,"Madison, FL",Madison County, FL,10.1,"$69,212"
1804,"Willis, TX", Montgomery County, TX,24.1,"$69,212"
1805,"Woodville, TX", Tyler County, TX,15.5,"$69,212"
1806,"Beeville, TX", Bee County, TX,26.7,"$69,212"
1807,"Gray, LA",Gray County, LA,16.7,"$69,212"
1808,"Cumberland, VA",Cumberland County, VA,15.7,"$69,212"
1809,"Laurinburg, NC", Scotland County, NC,26.9,"$69,212"
1810,"New Bern, NC", Craven County, NC,14.9,"$69,212"
1811,"Mount Dora, FL", Lake County, FL,36.5,"$69,212"
1812,"Lake Worth, FL", Palm Beach County, FL,12.2,"$69,212"
1813,"Hatfield, PA", Montgomery County, PA,24.1,"$69,212"
1814,"Acme, PA", Westmoreland County, PA,16.4,"$69,212"
1815,"Germantown, MD", Montgomery County, MD,24.1,"$69,212"
1816,"Teaneck, NJ", Bergen County, NJ,6.8,"$69,212"
1817,"Riverdale, MD", Prince George's County, MD,8.3,"$69,212"
1818,"Clarks Summit, PA", Lackawanna County, PA,14.2,"$69,212"
1819,"Marlton, NJ", Camden County, NJ,8.3,"$69,212"
1820,"Riverton, NJ", Burlington County, NJ,6.2,"$69,212"
1821,"Cookeville, TN", Putnam County, TN,10.0,"$69,212"
1822,"Erwin, TN", Unicoi County, TN,16.1,"$69,212"
1823,"Talladega, AL",Talladega County, AL,19.3,"$69,212"
1824,"Geismar, LA", Ascension Parish, LA,10.8,"$69,212"
1825,"Jackson, LA", Hinds County, LA,19.4,"$69,212"
1826,"Lanett, AL", Chambers County, AL,8.5,"$69,212"
1827,"Alvin, TX", Brazoria County, TX,10.1,"$69,212"
1828,"Millville, NJ", Cumberland County, NJ,15.7,"$69,212"
1829,"Linden, NJ", Union County, NJ,19.8,"$69,212"
1830,"Gretna, LA", Jefferson Parish, LA,15.6,"$69,212"
1831,"Idaho Falls, ID", Bonneville County, ID,10.6,"$69,212"
1832,"Herriman, UT",,,,"$69,212"
1833,"Royal City, WA", Grant County, WA,14.0,"$69,212"
1834,"Mount Gambier, SA",,,,"$69,212"
1835,"Lake View, SC", Piscataquis County, SC,17.5,"$69,212"
1836,"Bennettsville, SC", Marlboro County, SC,30.0,"$69,212"
1837,"Lancaster, SC",Lancaster County, SC,12.3,"$69,212"
1838,"Neeses, SC", Orangeburg County, SC,25.9,"$69,212"
1839,"Beaufort, SC", Beaufort County, SC,10.9,"$69,212"
1840,"Little River, SC", Horry County, SC,14.3,"$69,212"
1841,"Hartsville, SC", Darlington County, SC,23.5,"$69,212"
1842,"Johnston, SC", Edgefield County, SC,18.5,"$69,212"
1843,"Dresden, TN", Weakley County, TN,19.7,"$69,212"
1844,"Germantown, TN", Shelby County, TN,20.6,"$69,212"
1845,"Perkinston, MS", Stone County, MS,13.4,"$69,212"
1846,"Kossuth, MS", Alcorn County, MS,18.2,"$69,212"
1847,"Woodville, MS", Wilkinson County, MS,30.3,"$69,212"
1848,"Vacherie, LA", St. James Parish, LA,16.8,"$69,212"
1849,"San Leandro, CA", Alameda County, CA,9.0,"$69,212"
1850,"American Canyon, CA", Napa County, CA,8.8,"$69,212"
1851,"Johnson City, TN", Washington County, TN,4.5,"$69,212"
1852,"Mount Olive, AL", Jefferson County, AL,8.1,"$69,212"
1853,"Lebanon, OH", Warren County, OH,10.3,"$69,212"
1854,"Clifton, VA",,,,"$69,212"
1855,"Little Silver, NJ", Monmouth County, NJ,6.7,"$69,212"
1856,"Covington, VA", Alleghany County, VA,14.8,"$69,212"
1857,"Damascus, MD", Montgomery County, MD,24.1,"$69,212"
1858,"Lenexa, KS", Johnson County, KS,10.3,"$69,212"
1859,"Chesterfield, MO", Saint Louis County, MO,,"$69,212"
1860,"Valrico, FL", Hillsborough County, FL,7.4,"$69,212"
1861,"Carl Junction, MO", Jasper County, MO,19.2,"$69,212"
1862,"Andrews, NC", Cherokee County, NC,17.4,"$69,212"
1863,"Lincolnton, NC", Lincoln County, NC,7.9,"$69,212"
1864,"Iowa, LA",,,,"$69,212"
1865,"Carencro, LA", Lafayette Parish, LA,15.3,"$69,212"
1866,"Leesville, LA", Vernon Parish, LA,17.5,"$69,212"
1867,"Bellville, TX", Austin County, TX,10.2,"$69,212"
1868,"Zion, IL", Lake County, IL,36.5,"$69,212"
1869,"Winnie, TX", Chambers County, TX,8.5,"$69,212"
1870,"Selma, AL", Dallas County, AL,14.2,"$69,212"
1871,"Tuskegee, AL", Macon County, AL,18.1,"$69,212"
1872,"Saint Amant, LA", Ascension Parish, LA,10.8,"$69,212"
1873,"Marion, MA", Plymouth County, MA,6.2,"$69,212"
1874,"Middleburg, FL", Clay County, FL,25.1,"$69,212"
1875,"Dardanelle, AR", Yell County, AR,16.3,"$69,212"
1876,"Fort Smith, AR", Sebastian County, AR,15.6,"$69,212"
1877,"Baytown, TX", Harris County, TX,16.5,"$69,212"
1878,"Cordova, AL", Walker County, AL,26.1,"$69,212"
1879,"New Market, AL", Madison County, AL,10.1,"$69,212"
1880,"Ozark, AL", Jefferson County, AL,8.1,"$69,212"
1881,"Pelham, NY", Westchester County, NY,8.3,"$69,212"
1882,"Clinton, LA",Clinton County, LA,12.3,"$69,212"
1883,"Dadeville, AL", Tallapoosa County, AL,19.7,"$69,212"
1884,"El Cerrito, CA", Contra Costa County, CA,7.8,"$69,212"
1885,"Allendale, SC",Allendale County, SC,37.3,"$69,212"
1886,"Antioch, TN", Loudon County, TN,9.1,"$69,212"
1887,"Binghamton, NY", Broome County, NY,17.3,"$69,212"
1888,"New Castle, DE",New Castle County, DE,11.6,"$69,212"
1889,"Vancouver, BC", Clark County, BC,11.9,"$69,212"
1890,"Perkasie, PA", Bucks County, PA,5.7,"$69,212"
1891,"Haddonfield, NJ", Camden County, NJ,8.3,"$69,212"
1892,"Waynesboro, TN", Wayne County, TN,20.9,"$69,212"
1893,"Brandon, FL", Hillsborough County, FL,7.4,"$69,212"
1894,"Forest, IN", Wallowa County, IN,14.5,"$69,212"
1895,"Mount Vernon, IA", Linn County, IA,12.7,"$69,212"
1896,"Bridgeport, TX", Wise County, TX,25.4,"$69,212"
1897,"Springfield, IL", Sangamon County, IL,13.1,"$69,212"
1898,"Stafford, TX", Fort Bend County, TX,7.9,"$69,212"
1899,"Belmont, NC", Gaston County, NC,14.2,"$69,212"
1900,"Bethesda, MD", Montgomery County, MD,24.1,"$69,212"
1901,"Reston, VA", Fairfax County, VA,6.1,"$69,212"
1902,"Lafayette, IN", Tippecanoe County, IN,18.1,"$69,212"
1903,"Burleson, TX",Burleson County, TX,14.8,"$69,212"
1904,"Fairhope, AL", Baldwin County, AL,23.8,"$69,212"
1905,"Scooba, MS", Kemper County, MS,27.5,"$69,212"
1906,"Barren Springs, VA", Wythe County, VA,15.4,"$69,212"
1907,"Haymarket, VA", Prince William County, VA,6.4,"$69,212"
1908,"Camden, NC",Camden County, NC,8.3,"$69,212"
1909,"Hamilton, VA", Loudoun County, VA,3.6,"$69,212"
1910,"Harahan, LA", Jefferson Parish, LA,15.6,"$69,212"
1911,"New Iberia, LA", Iberia Parish, LA,24.1,"$69,212"
1912,"Farmerville, LA", Union Parish, LA,18.0,"$69,212"
1913,"Covina, CA", Los Angeles County, CA,14.2,"$69,212"
1914,"Aliso Viejo, CA", Orange County, CA,9.4,"$69,212"
1915,"Agoura Hills, CA", Los Angeles County, CA,14.2,"$69,212"
1916,"Davidson, NC", Mecklenburg County, NC,18.7,"$69,212"
1917,"Fayetteville, GA", Fayette County, GA,22.5,"$69,212"
1918,"Orem, UT", Utah County, UT,9.4,"$69,212"
1919,"Johnston, IA", Polk County, IA,9.6,"$69,212"
1920,"Matthews, NC", Mecklenburg County, NC,18.7,"$69,212"
1921,"Sharon, MA", Norfolk County, MA,6.5,"$69,212"
1922,"Gustine, CA", Merced County, CA,21.2,"$69,212"
1923,"Baldwin Hills, CA", Anne Arundel County, CA,7.0,"$69,212"
1924,"Maple Valley, WA", King County, WA,9.2,"$69,212"
1925,"Beaverton, OR", Washington County, OR,4.5,"$69,212"
1926,"West Linn, OR", Clackamas County, OR,7.3,"$69,212"
1927,"Mount Angel, OR", Marion County, OR,16.6,"$69,212"
1928,"Newberg, OR", Yamhill County, OR,12.2,"$69,212"
1929,"Mccalla, AL", Jefferson County, AL,8.1,"$69,212"
1930,"Fernandina Beach, FL", Nassau County, FL,5.8,"$69,212"
1931,"Anniston, AL", Calhoun County, AL,22.8,"$69,212"
1932,"Baconton, GA", Mitchell County, GA,21.4,"$69,212"
1933,"Rancho Mirage, CA", Riverside County, CA,12.7,"$69,212"
1934,"Goodyear, AZ", Maricopa County, AZ,12.3,"$69,212"
1935,"Hanford, CA", Kings County, CA,18.9,"$69,212"
1936,"Atmore, AL", Escambia County, AL,14.7,"$69,212"
1937,"Ocoee, FL", Orange County, FL,9.4,"$69,212"
1938,"Lookout Mountain, TN", Hamilton County, TN,14.7,"$69,212"
1939,"Dunwoody, GA", DeKalb County, GA,17.4,"$69,212"
1940,"Lawndale, NC", Cleveland County, NC,11.9,"$69,212"
1941,"Stow, MA", Middlesex County, MA,12.7,"$69,212"
1942,"Hasbrouck Heights, NJ", Bergen County, NJ,6.8,"$69,212"
1943,"Hailey, ID", Blaine County, ID,16.0,"$69,212"
1944,"Nocatee, FL", St. Johns County, FL,6.6,"$69,212"
1945,"Portsmouth, RI",,,,"$69,212"
1946,"Burlington, NC", Alamance County, NC,13.5,"$69,212"
1947,"Havelock, NC", Craven County, NC,14.9,"$69,212"
1948,"Thomasville, NC", Davidson County, NC,15.4,"$69,212"
1949,"Hartland, WI", Waukesha County, WI,5.0,"$69,212"
1950,"Bloomington, IL", Monroe County, IL,13.2,"$69,212"
1951,"Yorkville, IL", New York County, IL,15.6,"$69,212"
1952,"Jefferson City, MO", Cole County, MO,8.9,"$69,212"
1953,"Freeport, IL", Stephenson County, IL,12.7,"$69,212"
1954,"East Lansing, MI", Ingham County, MI,18.1,"$69,212"
1955,"Woodbury, MN", Washington County, MN,4.5,"$69,212"
1956,"South Milwaukee, WI",,,,"$69,212"
1957,"Lodi, WI", Columbia County, WI,7.6,"$69,212"
1958,"Hallock, MN", Kittson County, MN,10.0,"$69,212"
1959,"Baraboo, WI", Sauk County, WI,8.6,"$69,212"
1960,"Coon Rapids, MN", Anoka County, MN,5.6,"$69,212"
1961,"Moorhead, MN", Clay County, MN,25.1,"$69,212"
1962,"Plano, IL", Collin County, IL,6.4,"$69,212"
1963,"Norwalk, CT", Cook County, CT,9.6,"$69,212"
1964,"Old Tappan, NJ", Bergen County, NJ,6.8,"$69,212"
1965,"State College, PA", Centre County, PA,18.1,"$69,212"
1966,"Altoona, PA", Blair County, PA,14.4,"$69,212"
1967,"Hammonton, NJ", Atlantic County, NJ,12.8,"$69,212"
1968,"Huber Heights, OH", Montgomery County, OH,24.1,"$69,212"
1969,"Manlius, NY", Onondaga County, NY,13.7,"$69,212"
1970,"Phoenixville, PA", Chester County, PA,15.9,"$69,212"
1971,"Glenelg, MD", Howard County, MD,20.6,"$69,212"
1972,"Beverly Hills, CA", Los Angeles County, CA,14.2,"$69,212"
1973,"King George, VA",King George County, VA,6.8,"$69,212"
1974,"District Heights, MD", Prince George's County, MD,8.3,"$69,212"
1975,"Fair Haven, NJ", Monmouth County, NJ,6.7,"$69,212"
1976,"Mitchellville, MD", Prince George's County, MD,8.3,"$69,212"
1977,"Westford, MA", Middlesex County, MA,12.7,"$69,212"
1978,"Warminster, PA", Bucks County, PA,5.7,"$69,212"
1979,"North Haven, CT", Richland County, CT,14.3,"$69,212"
1980,"Watertown, CT",,,,"$69,212"
1981,"Brea, CA", Orange County, CA,9.4,"$69,212"
1982,"Windermere, FL", Orange County, FL,9.4,"$69,212"
1983,"Greeneville, TN", Greene County, TN,8.1,"$69,212"
1984,"Gainesville, GA", Hall County, GA,24.1,"$69,212"
1985,"Lake City, SC", Florence County, SC,11.9,"$69,212"
1986,"Crawfordville, FL", Wakulla County, FL,11.9,"$69,212"
1987,"Fruitland, ID", Payette County, ID,12.8,"$69,212"
1988,"Kent, WA", King County, WA,9.2,"$69,212"
1989,"Puyallup, WA", Pierce County, WA,8.5,"$69,212"
1990,"Newhall, CA", Los Angeles County, CA,14.2,"$69,212"
1991,"Mckees Rocks, PA", Allegheny County, PA,11.7,"$69,212"
1992,"Wailuku, HI", Maui County, HI,8.6,"$69,212"
1993,"New Wilmington, PA", Lawrence County, PA,17.7,"$69,212"
1994,"Bedford, VA",Bedford County, VA,10.4,"$69,212"
1995,"Culver, IN", Marshall County, IN,13.9,"$69,212"
1996,"Kohler, WI", Sheboygan County, WI,7.5,"$69,212"
1997,"Dillsburg, PA",,,,"$69,212"
1998,"Kiln, MS", Hancock County, MS,13.2,"$69,212"
1999,"Crystal Springs, MS", Copiah County, MS,26.5,"$69,212"
2000,"East Wenatchee, WA", Douglas County, WA,11.7,"$69,212"
2001,"Fruit Cove, FL", St. Johns County, FL,6.6,"$69,212"
2002,"Douglas, GA",Douglas County, GA,11.7,"$69,212"
2003,"Vanceboro, NC", Craven County, NC,14.9,"$69,212"
2004,"Prichard, AL", Mobile County, AL,20.8,"$69,212"
2005,"Dana Point, CA", Orange County, CA,9.4,"$69,212"
2006,"Queen Creek, AZ", Maricopa County, AZ,12.3,"$69,212"
2007,"Prattville, AL", Autauga County, AL,13.8,"$69,212"
2008,"Farmville, NC", Pitt County, NC,23.2,"$69,212"
2009,"Black Mountain, NC", Buncombe County, NC,11.5,"$69,212"
2010,"Fordyce, AR", Dallas County, AR,14.2,"$69,212"
2011,"Sumner, WA", Bremer County, WA,6.6,"$69,212"
2012,"Refugio, TX",Refugio County, TX,16.3,"$69,212"
2013,"Lyons, GA", Baltimore County, GA,9.9,"$69,212"
2014,"Shiner, TX", Lavaca County, TX,13.5,"$69,212"
2015,"Zionsville, IN", Boone County, IN,22.5,"$69,212"
2016,"Fort Stockton, TX", Pecos County, TX,19.5,"$69,212"
2017,"Waller, TX",Waller County, TX,15.9,"$69,212"
2018,"La Marque, TX", Galveston County, TX,12.1,"$69,212"
2019,"Schertz, TX", Guadalupe County, TX,8.5,"$69,212"
2020,"Rancho Dominguez, CA", Los Angeles County, CA,14.2,"$69,212"
2021,"Daly City, CA", San Mateo County, CA,6.8,"$69,212"
2022,"Yakima, WA", Yakima County, WA,16.5,"$69,212"
2023,"Cochran, GA", Bleckley County, GA,18.7,"$69,212"
2024,"Olympia, WA", Thurston County, WA,8.7,"$69,212"
2025,"Spokane, WA", Spokane County, WA,13.0,"$69,212"
2026,"Woodinville, WA", King County, WA,9.2,"$69,212"
2027,"Bend, OR", Deschutes County, OR,9.4,"$69,212"
2028,"Houma, LA", Terrebonne Parish, LA,17.3,"$69,212"
2029,"Somerville, TN", Fayette County, TN,22.5,"$69,212"
2030,"Pinellas Park, FL", Pinellas County, FL,11.7,"$69,212"
2031,"D'lberville, MS", Lee County, MS,24.8,"$69,212"
2032,"Bassfield, MS", Jefferson Davis County, MS,26.0,"$69,212"
2033,"Moss Point, MS", Jackson County, MS,12.0,"$69,212"
2034,"Burlington, WA", Des Moines County, WA,12.7,"$69,212"
2035,"Bolton, MS", Hinds County, MS,19.4,"$69,212"
2036,"Live Oak, FL", Suwannee County, FL,19.3,"$69,212"
2037,"Adamsville, AL", Jefferson County, AL,8.1,"$69,212"
2038,"Corpus Christi, TX", Nueces County, TX,16.2,"$69,212"
2039,"Westfield, IN", Douglas County, IN,11.7,"$69,212"
2040,"Huntington, WV", Cabell County, WV,19.3,"$69,212"
2041,"Lott, TX", Falls County, TX,21.7,"$69,212"
2042,"Pittsburg, CA", Contra Costa County, CA,7.8,"$69,212"
2043,"Elk Grove Village, IL", Cook County, IL,9.6,"$69,212"
2044,"Swanton, OH", Fulton County, OH,11.5,"$69,212"
2045,"Hilden, ", St. Johns County, ,6.6,"$69,212"
2046,"Avon, IN", Hendricks County, IN,5.9,"$69,212"
2047,"Bromont, PQ",,,,"$69,212"
2048,"Dexter, MI", Washtenaw County, MI,15.0,"$69,212"
2049,"Barrie, ON", Lake County, ON,36.5,"$69,212"
2050,"Grand Blanc, MI", Genesee County, MI,9.9,"$69,212"
2051,"Greenville, MI", Montcalm County, MI,14.3,"$69,212"
2052,"Homewood, IL", Cook County, IL,9.6,"$69,212"
2053,"O' Fallon, MO",,,,"$69,212"
2054,"Chesterfield, MI", Oakland County, MI,8.2,"$69,212"
2055,"Michigan City, IN", LaPorte County, IN,,"$69,212"
2056,"Grovetown, GA", Columbia County, GA,7.6,"$69,212"
2057,"Bloomington, IN", Monroe County, IN,13.2,"$69,212"
2058,"Delaware, OH",Delaware County, OH,8.8,"$69,212"
2059,"Lawrenceburg, IN", Dearborn County, IN,9.4,"$69,212"
2060,"White Castle, LA", Iberville Parish, LA,23.8,"$69,212"
2061,"Medina, OH",Medina County, OH,12.3,"$69,212"
2062,"Saint John, IN", Warrick County, IN,7.1,"$69,212"
2063,"Noblesville, IN", Hamilton County, IN,14.7,"$69,212"
2064,"Uniondale, IN", Wells County, IN,11.4,"$69,212"
2065,"Oakville, ON", Plaquemines Parish, ON,15.5,"$69,212"
2066,"Port Charlotte, FL", Charlotte County, FL,19.3,"$69,212"
2067,"Punta Gorda, FL", Charlotte County, FL,19.3,"$69,212"
2068,"Saint Petersburg Beach, FL", Pinellas County, FL,11.7,"$69,212"
2069,"Riviera Beach, FL", Palm Beach County, FL,12.2,"$69,212"
2070,"Hilton Head Island, SC", Beaufort County, SC,10.9,"$69,212"
2071,"Taylor, TX",Taylor County, TX,10.3,"$69,212"
2072,"Hominy, OK", Osage County, OK,15.1,"$69,212"
2073,"Hackensack, NJ", Bergen County, NJ,6.8,"$69,212"
2074,"Oxford, OH", Butler County, OH,8.7,"$69,212"
2075,"Highland Park, IL", Lake County, IL,36.5,"$69,212"
2076,"Pontiac, MI", Oakland County, MI,8.2,"$69,212"
2077,"Cicero, IN", Hamilton County, IN,14.7,"$69,212"
2078,"Poland, OH", Mahoning County, OH,16.5,"$69,212"
2079,"LaPorte, IN", LaPorte County, IN,,"$69,212"
2080,"Portage, MI", Kalamazoo County, MI,14.4,"$69,212"
2081,"Struthers, OH", Mahoning County, OH,16.5,"$69,212"
2082,"Grafton, OH", Lorain County, OH,14.2,"$69,212"
2083,"Anthem, AZ", Maricopa County, AZ,12.3,"$69,212"
2084,"Trotwood, OH", Montgomery County, OH,24.1,"$69,212"
2085,"Columbiana, OH",Columbiana County, OH,15.1,"$69,212"
2086,"Orchard Lake, MI", Oakland County, MI,8.2,"$69,212"
2087,"Elkhart, IN",Elkhart County, IN,11.5,"$69,212"
2088,"Amory, MS", Monroe County, MS,13.2,"$69,212"
2089,"Union City, CA", Alameda County, CA,9.0,"$69,212"
2090,"Franklin, KY",Franklin County, KY,13.4,"$69,212"
2091,"Waddell, AZ", Maricopa County, AZ,12.3,"$69,212"
2092,"Mount Juliet, TN", Wilson County, TN,10.9,"$69,212"
2093,"Stuart, FL", Martin County, FL,13.6,"$69,212"
2094,"Lewisburg, TN", Marshall County, TN,13.9,"$69,212"
2095,"Macon, MS", Noxubee County, MS,29.0,"$69,212"
2096,"Halls, TN", Lauderdale County, TN,24.9,"$69,212"
2097,"Athens, AL", Mercer County, AL,22.7,"$69,212"
2098,"Fellsmere, FL", Indian River County, FL,10.7,"$69,212"
2099,"Jericho, NY", Nassau County, NY,5.8,"$69,212"
2100,"Baldwin, FL", Duval County, FL,25.5,"$69,212"
2101,"Bryant, AR", Saline County, AR,12.4,"$69,212"
2102,"Hutto, TX", Williamson County, TX,6.4,"$69,212"
2103,"Rowlett, TX", Dallas County, TX,14.2,"$69,212"
2104,"Rockton, IL", Winnebago County, IL,10.4,"$69,212"
2105,"Loranger, LA", Tangipahoa Parish, LA,17.9,"$69,212"
2106,"Calhoun City, MS", Calhoun County, MS,22.8,"$69,212"
2107,"Coral Springs, FL", Broward County, FL,12.6,"$69,212"
2108,"Gretna, FL", Gadsden County, FL,23.6,"$69,212"
2109,"Greenacres, FL", Palm Beach County, FL,12.2,"$69,212"
2110,"Demopolis, AL", Marengo County, AL,24.0,"$69,212"
2111,"Paramount, CA", Los Angeles County, CA,14.2,"$69,212"
2112,"Winter Springs, FL", Seminole County, FL,18.6,"$69,212"
2113,"Spring Hill, FL", Hernando County, FL,14.1,"$69,212"
2114,"Melrose, FL", Putnam County, FL,10.0,"$69,212"
2115,"Moorestown, NJ", Burlington County, NJ,6.2,"$69,212"
2116,"Terrell, TX",Terrell County, TX,18.9,"$69,212"
2117,"Dove Canyon, CA", Orange County, CA,9.4,"$69,212"
2118,"Township Of Washington, NJ", Bergen County, NJ,6.8,"$69,212"
2119,"Hermitage, TN", Davidson County, TN,15.4,"$69,212"
2120,"Gresham, OR", Multnomah County, OR,12.0,"$69,212"
2121,"Barrington, IL", Cook County, IL,9.6,"$69,212"
2122,"Monclova, OH", Lucas County, OH,18.7,"$69,212"
2123,"Downey, CA", Los Angeles County, CA,14.2,"$69,212"
2124,"Pavo, GA", Brooks County, GA,31.0,"$69,212"
2125,"Arnold, MD", Anne Arundel County, MD,7.0,"$69,212"
2126,"West Bloomfield, MI", Ontario County, MI,8.5,"$69,212"
2127,"Crownsville, MD", Anne Arundel County, MD,7.0,"$69,212"
2128,"Saint Cloud, FL", Osceola County, FL,17.6,"$69,212"
2129,"Fort Walton Beach, FL", Okaloosa County, FL,12.7,"$69,212"
2130,"Wahoo, NE", Saunders County, NE,7.8,"$69,212"
2131,"Largo, FL", Pinellas County, FL,11.7,"$69,212"
2132,"Garner, NC", Wake County, NC,8.4,"$69,212"
2133,"Plant City, FL", Hillsborough County, FL,7.4,"$69,212"
2134,"Poplarville, MS", Pearl River County, MS,18.1,"$69,212"
2135,"Palm Beach, FL",Palm Beach County, FL,12.2,"$69,212"
2136,"Ecru, MS", Pontotoc County, MS,15.3,"$69,212"
2137,"Edwardsville, IL",,,,"$69,212"
2138,"Bartlett, TN", Shelby County, TN,20.6,"$69,212"
2139,"Grenada, MS", Grenada County, MS,22.3,"$69,212"
2140,"Neerim South, VIC       ",,,,"$69,212"
2141,"Tumwater, WA", Thurston County, WA,8.7,"$69,212"
2142,"Clements, CA", San Joaquin County, CA,14.3,"$69,212"
2143,"Issaquah, WA", King County, WA,9.2,"$69,212"
2144,"Fairless Hills, PA", Bucks County, PA,5.7,"$69,212"
2145,"Kapaa, HI", Kauaʻi County, HI,,"$69,212"
2146,"Springville, UT", Utah County, UT,9.4,"$69,212"
2147,"Little Elm, TX", Denton County, TX,7.3,"$69,212"
2148,"Palatka, FL", Putnam County, FL,10.0,"$69,212"
2149,"San Pedro, CA", Los Angeles County, CA,14.2,"$69,212"
2150,"Wooster, OH", Wayne County, OH,20.9,"$69,212"
2151,"Seneca, IL",Seneca County, IL,12.1,"$69,212"
2152,"Kingsburg, CA", Fresno County, CA,21.3,"$69,212"
2153,"Independence, OR", Polk County, OR,9.6,"$69,212"
2154,"Glendora, CA", Los Angeles County, CA,14.2,"$69,212"
2155,"Lafayette, CO",Lafayette County, CO,11.3,"$69,212"
2156,"Bushnell, FL", Sumter County, FL,18.7,"$69,212"
2157,"La Mirada, CA", Los Angeles County, CA,14.2,"$69,212"
2158,"Louisville, CO", Boulder County, CO,9.7,"$69,212"
2159,"Redondo Beach, CA", Los Angeles County, CA,14.2,"$69,212"
2160,"Roseville, CA", Placer County, CA,7.1,"$69,212"
2161,"Victoria, BC", Carver County, BC,3.8,"$69,212"
2162,"Fountain Valley, CA", Orange County, CA,9.4,"$69,212"
2163,"Sanger, CA", Fresno County, CA,21.3,"$69,212"
2164,"Galena Park, TX", Harris County, TX,16.5,"$69,212"
2165,"Newton, MA", Middlesex County, MA,12.7,"$69,212"
2166,"Bunnell, FL", Flagler County, FL,10.3,"$69,212"
2167,"Yuma, AZ", Yuma County, AZ,12.1,"$69,212"
2168,"Roswell, NM", Chaves County, NM,18.9,"$69,212"
2169,"Los Alamitos, CA", Orange County, CA,9.4,"$69,212"
2170,"Versailles, KY", Woodford County, KY,9.4,"$69,212"
2171,"Smithfield, VA", Isle of Wight County, VA,9.2,"$69,212"
2172,"Brantley, AL", Crenshaw County, AL,19.5,"$69,212"
2173,"Newburgh, IN", Warrick County, IN,7.1,"$69,212"
2174,"Kahului, HI", Maui County, HI,8.6,"$69,212"
2175,"Davis, CA", Yolo County, CA,20.1,"$69,212"
2176,"Graham, WA", Pierce County, WA,8.5,"$69,212"
2177,"Salinas, CA", Monterey County, CA,13.3,"$69,212"
2178,"Englewood, NJ", Bergen County, NJ,6.8,"$69,212"
2179,"Woods Cross, UT",,,,"$69,212"
2180,"Holladay, UT",,,,"$69,212"
2181,"Axis, AL", Mobile County, AL,20.8,"$69,212"
2182,"Schaumburg, IL", Cook County, IL,9.6,"$69,212"
2183,"Attalla, AL", Etowah County, AL,17.5,"$69,212"
2184,"Navarre, FL", Santa Rosa County, FL,9.5,"$69,212"
2185,"Winchester, VA",,,,"$69,212"
2186,"Oxford, AL", Bucks County, AL,5.7,"$69,212"
2187,"Lafayette, AL", Jefferson County, AL,8.1,"$69,212"
2188,"Eugene, OR", Lane County, OR,18.1,"$69,212"
2189,"Lithia, FL", Hillsborough County, FL,7.4,"$69,212"
2190,"Palo Alto, CA", Santa Clara County, CA,7.3,"$69,212"
2191,"La Jolla, CA", San Diego County, CA,11.5,"$69,212"
2192,"Aiea, HI", Honolulu County, HI,7.7,"$69,212"
2193,"Mililani, HI", Honolulu County, HI,7.7,"$69,212"
2194,"Venice, CA", Los Angeles County, CA,14.2,"$69,212"
2195,"West Los Angeles, CA", Los Angeles County, CA,14.2,"$69,212"
2196,"Mcminnville, TN", Warren County, TN,10.3,"$69,212"
2197,"Monroe, MI",Monroe County, MI,13.2,"$69,212"
2198,"Savannah, TN", Hardin County, TN,12.4,"$69,212"
2199,"Apollo Beach, FL", Hillsborough County, FL,7.4,"$69,212"
2200,"Albany, LA", Albany County, LA,20.4,"$69,212"
2201,"Brampton, ON", Sullivan County, ON,16.5,"$69,212"
2202,"LaVERGNE, TN", Cook County, TN,9.6,"$69,212"
2203,"Washington, PA",Washington County, PA,4.5,"$69,212"
2204,"Grantville, GA", Coweta County, GA,10.2,"$69,212"
2205,"Louin, MS", Jasper County, MS,19.2,"$69,212"
2206,"Pullman, WA", Whitman County, WA,25.4,"$69,212"
2207,"Middletown, NJ", Monmouth County, NJ,6.7,"$69,212"
2208,"Glendale, UT", Salt Lake County, UT,9.0,"$69,212"
2209,"South Elgin, IL", Kane County, IL,10.5,"$69,212"
2210,"Menomonee Falls, WI", Waukesha County, WI,5.0,"$69,212"
2211,"Waunakee, WI", Dane County, WI,10.8,"$69,212"
2212,"Columbus, WI", Columbia County, WI,7.6,"$69,212"
2213,"De Pere, WI", Brown County, WI,8.6,"$69,212"
2214,"Grafton, WI", Ozaukee County, WI,4.2,"$69,212"
2215,"Appleton, WI", Outagamie County, WI,7.2,"$69,212"
2216,"Darlington, WI", Lafayette County, WI,11.3,"$69,212"
2217,"Kernersville, NC", Forsyth County, NC,16.4,"$69,212"
2218,"Salem, NJ",Salem County, NJ,11.2,"$69,212"
2219,"Kimberly, WI", Outagamie County, WI,7.2,"$69,212"
2220,"Sayville, NY", Suffolk County, NY,7.3,"$69,212"
